module,descriptor,model,metric,random_score,grouped_score,gap
designsafe_rc_columns,DesignSafe rectangular RC columns,Random Forest,pooled_r2,0.884859,0.678140,0.206719
designsafe_rc_columns,DesignSafe rectangular RC columns,Gradient Boosting,pooled_r2,0.945239,0.752486,0.192753
designsafe_rc_columns,DesignSafe RC columns combined,Ridge,pooled_r2,0.783092,0.720881,0.062211
designsafe_rc_columns,DesignSafe RC columns combined,Random Forest,pooled_r2,0.600110,0.490236,0.109874
designsafe_rc_columns,DesignSafe RC columns combined,Gradient Boosting,pooled_r2,0.607032,0.509145,0.097886
mendeley_beam_column_joint,Mendeley exterior RC beam-column joints|shear_strength_regression,Ridge,pooled_r2,0.867096,0.758463,0.108633
mendeley_beam_column_joint,Mendeley exterior RC beam-column joints|shear_strength_regression,Random Forest,pooled_r2,0.951819,0.753707,0.198112
mendeley_beam_column_joint,Mendeley exterior RC beam-column joints|shear_strength_regression,Gradient Boosting,pooled_r2,0.957798,0.787426,0.170373
mendeley_beam_column_joint,Mendeley exterior RC beam-column joints|failure_mode_classification,Random Forest,accuracy,0.635468,0.266010,0.369458
mendeley_beam_column_joint,Mendeley exterior RC beam-column joints|failure_mode_classification,Gradient Boosting,accuracy,0.610837,0.261084,0.349754
mendeley_beam_column_joint,Mendeley cyclic beam-column joint shear|joint_shear_strength_regression,Ridge,pooled_r2,0.514706,-0.497603,1.012309
mendeley_beam_column_joint,Mendeley cyclic beam-column joint shear|joint_shear_strength_regression,Random Forest,pooled_r2,0.574912,-0.816965,1.391878
mendeley_beam_column_joint,Mendeley cyclic beam-column joint shear|joint_shear_strength_regression,Gradient Boosting,pooled_r2,0.795047,-1.356902,2.151948
