module,descriptor,model,metric_type,calibration_basis,random_calibrated_width_norm,grouped_calibrated_width_norm,width_inflation_grouped_over_random,random_interval_coverage_on_random,random_interval_coverage_on_grouped,coverage_shortfall_under_grouped,ece,mean_confidence,brier_score
designsafe_prj2430_wall,PRJ-2430 RC wall peak lateral strength|Vmax,Ridge,regression,absolute residual q80,0.652122,1.516872,2.326057,0.795775,0.450704,0.349296,,,
designsafe_prj2430_wall,PRJ-2430 RC wall peak lateral strength|Vmax,Ridge,regression,absolute residual q90,1.070807,2.665010,2.488786,0.894366,0.654930,0.245070,,,
designsafe_prj2430_wall,PRJ-2430 RC wall peak lateral strength|Vmax,Ridge,regression,absolute residual q95,1.610072,4.013070,2.492478,0.943662,0.823944,0.126056,,,
designsafe_prj2430_wall,PRJ-2430 RC wall peak lateral strength|Vmax,Random Forest,regression,absolute residual q80,0.559949,0.897758,1.603285,0.795775,0.556338,0.243662,,,
designsafe_prj2430_wall,PRJ-2430 RC wall peak lateral strength|Vmax,Random Forest,regression,absolute residual q90,0.863162,1.175930,1.362351,0.894366,0.795775,0.104225,,,
designsafe_prj2430_wall,PRJ-2430 RC wall peak lateral strength|Vmax,Random Forest,regression,absolute residual q95,1.111842,1.594168,1.433808,0.943662,0.887324,0.062676,,,
designsafe_prj2430_wall,PRJ-2430 RC wall peak lateral strength|Vmax,Gradient Boosting,regression,absolute residual q80,0.534576,0.931326,1.742175,0.795775,0.556338,0.243662,,,
designsafe_prj2430_wall,PRJ-2430 RC wall peak lateral strength|Vmax,Gradient Boosting,regression,absolute residual q90,0.895356,1.234547,1.378834,0.894366,0.788732,0.111268,,,
designsafe_prj2430_wall,PRJ-2430 RC wall peak lateral strength|Vmax,Gradient Boosting,regression,absolute residual q95,1.338186,1.658373,1.239269,0.943662,0.915493,0.034507,,,
designsafe_prj2430_wall,PRJ-2430 RC wall drift capacity|driftCap,Ridge,regression,absolute residual q80,0.570152,1.557839,2.732321,0.795775,0.443662,0.356338,,,
designsafe_prj2430_wall,PRJ-2430 RC wall drift capacity|driftCap,Ridge,regression,absolute residual q90,0.820444,1.911162,2.329423,0.894366,0.577465,0.322535,,,
designsafe_prj2430_wall,PRJ-2430 RC wall drift capacity|driftCap,Ridge,regression,absolute residual q95,1.208737,2.648436,2.191077,0.943662,0.732394,0.217606,,,
designsafe_prj2430_wall,PRJ-2430 RC wall drift capacity|driftCap,Random Forest,regression,absolute residual q80,0.413062,0.628220,1.520887,0.795775,0.626761,0.173239,,,
designsafe_prj2430_wall,PRJ-2430 RC wall drift capacity|driftCap,Random Forest,regression,absolute residual q90,0.570657,0.953231,1.670411,0.894366,0.774648,0.125352,,,
designsafe_prj2430_wall,PRJ-2430 RC wall drift capacity|driftCap,Random Forest,regression,absolute residual q95,0.927373,1.264872,1.363930,0.943662,0.894366,0.055634,,,
designsafe_prj2430_wall,PRJ-2430 RC wall drift capacity|driftCap,Gradient Boosting,regression,absolute residual q80,0.424220,0.848785,2.000814,0.795775,0.584507,0.215493,,,
designsafe_prj2430_wall,PRJ-2430 RC wall drift capacity|driftCap,Gradient Boosting,regression,absolute residual q90,0.762841,1.070221,1.402941,0.894366,0.774648,0.125352,,,
designsafe_prj2430_wall,PRJ-2430 RC wall drift capacity|driftCap,Gradient Boosting,regression,absolute residual q95,1.121458,1.309974,1.168099,0.943662,0.922535,0.027465,,,
designsafe_prj3053_coupling_beams,PRJ-3053 coupling beam peak shear|V_m_avg_kips,Ridge,regression,absolute residual q80,0.297908,0.231809,0.778122,0.800000,0.850000,-0.050000,,,
designsafe_prj3053_coupling_beams,PRJ-3053 coupling beam peak shear|V_m_avg_kips,Ridge,regression,absolute residual q90,0.414134,0.446423,1.077968,0.900000,0.866667,0.033333,,,
designsafe_prj3053_coupling_beams,PRJ-3053 coupling beam peak shear|V_m_avg_kips,Ridge,regression,absolute residual q95,0.639195,0.694987,1.087286,0.950000,0.933333,0.016667,,,
designsafe_prj3053_coupling_beams,PRJ-3053 coupling beam peak shear|V_m_avg_kips,Random Forest,regression,absolute residual q80,0.345567,0.327972,0.949084,0.800000,0.816667,-0.016667,,,
designsafe_prj3053_coupling_beams,PRJ-3053 coupling beam peak shear|V_m_avg_kips,Random Forest,regression,absolute residual q90,0.456978,0.412191,0.901993,0.900000,0.916667,-0.016667,,,
designsafe_prj3053_coupling_beams,PRJ-3053 coupling beam peak shear|V_m_avg_kips,Random Forest,regression,absolute residual q95,0.546639,0.518985,0.949411,0.950000,0.950000,0.000000,,,
designsafe_prj3053_coupling_beams,PRJ-3053 coupling beam peak shear|V_m_avg_kips,Gradient Boosting,regression,absolute residual q80,0.356974,0.367460,1.029377,0.800000,0.783333,0.016667,,,
designsafe_prj3053_coupling_beams,PRJ-3053 coupling beam peak shear|V_m_avg_kips,Gradient Boosting,regression,absolute residual q90,0.407699,0.502815,1.233301,0.900000,0.833333,0.066667,,,
designsafe_prj3053_coupling_beams,PRJ-3053 coupling beam peak shear|V_m_avg_kips,Gradient Boosting,regression,absolute residual q95,0.513867,0.607166,1.181563,0.950000,0.900000,0.050000,,,
designsafe_prj3053_coupling_beams,PRJ-3053 coupling beam normalized shear|v_m_normalized,Ridge,regression,absolute residual q80,0.243864,0.286962,1.176732,0.800000,0.750000,0.050000,,,
designsafe_prj3053_coupling_beams,PRJ-3053 coupling beam normalized shear|v_m_normalized,Ridge,regression,absolute residual q90,0.315971,0.317948,1.006258,0.900000,0.883333,0.016667,,,
designsafe_prj3053_coupling_beams,PRJ-3053 coupling beam normalized shear|v_m_normalized,Ridge,regression,absolute residual q95,0.361289,0.365066,1.010455,0.950000,0.933333,0.016667,,,
designsafe_prj3053_coupling_beams,PRJ-3053 coupling beam normalized shear|v_m_normalized,Random Forest,regression,absolute residual q80,0.257884,0.346172,1.342354,0.800000,0.733333,0.066667,,,
designsafe_prj3053_coupling_beams,PRJ-3053 coupling beam normalized shear|v_m_normalized,Random Forest,regression,absolute residual q90,0.352311,0.581349,1.650102,0.900000,0.800000,0.100000,,,
designsafe_prj3053_coupling_beams,PRJ-3053 coupling beam normalized shear|v_m_normalized,Random Forest,regression,absolute residual q95,0.484094,0.704951,1.456229,0.950000,0.866667,0.083333,,,
designsafe_prj3053_coupling_beams,PRJ-3053 coupling beam normalized shear|v_m_normalized,Gradient Boosting,regression,absolute residual q80,0.270576,0.374037,1.382375,0.800000,0.733333,0.066667,,,
designsafe_prj3053_coupling_beams,PRJ-3053 coupling beam normalized shear|v_m_normalized,Gradient Boosting,regression,absolute residual q90,0.385939,0.533500,1.382344,0.900000,0.816667,0.083333,,,
designsafe_prj3053_coupling_beams,PRJ-3053 coupling beam normalized shear|v_m_normalized,Gradient Boosting,regression,absolute residual q95,0.441740,0.703297,1.592105,0.950000,0.850000,0.100000,,,
designsafe_prj3053_coupling_beams,PRJ-3053 coupling beam chord-rotation capacity|CR_capacity_average,Ridge,regression,absolute residual q80,0.275992,0.373827,1.354484,0.800000,0.633333,0.166667,,,
designsafe_prj3053_coupling_beams,PRJ-3053 coupling beam chord-rotation capacity|CR_capacity_average,Ridge,regression,absolute residual q90,0.369487,0.487994,1.320734,0.900000,0.800000,0.100000,,,
designsafe_prj3053_coupling_beams,PRJ-3053 coupling beam chord-rotation capacity|CR_capacity_average,Ridge,regression,absolute residual q95,0.399221,0.517363,1.295932,0.950000,0.816667,0.133333,,,
designsafe_prj3053_coupling_beams,PRJ-3053 coupling beam chord-rotation capacity|CR_capacity_average,Random Forest,regression,absolute residual q80,0.253440,0.321157,1.267194,0.800000,0.666667,0.133333,,,
designsafe_prj3053_coupling_beams,PRJ-3053 coupling beam chord-rotation capacity|CR_capacity_average,Random Forest,regression,absolute residual q90,0.301899,0.366841,1.215110,0.900000,0.783333,0.116667,,,
designsafe_prj3053_coupling_beams,PRJ-3053 coupling beam chord-rotation capacity|CR_capacity_average,Random Forest,regression,absolute residual q95,0.382927,0.447701,1.169155,0.950000,0.916667,0.033333,,,
designsafe_prj3053_coupling_beams,PRJ-3053 coupling beam chord-rotation capacity|CR_capacity_average,Gradient Boosting,regression,absolute residual q80,0.221262,0.358485,1.620188,0.800000,0.616667,0.183333,,,
designsafe_prj3053_coupling_beams,PRJ-3053 coupling beam chord-rotation capacity|CR_capacity_average,Gradient Boosting,regression,absolute residual q90,0.262549,0.405301,1.543716,0.900000,0.666667,0.233333,,,
designsafe_prj3053_coupling_beams,PRJ-3053 coupling beam chord-rotation capacity|CR_capacity_average,Gradient Boosting,regression,absolute residual q95,0.287293,0.455831,1.586643,0.950000,0.716667,0.233333,,,
designsafe_rc_columns,DesignSafe circular RC columns,Ridge,regression,absolute residual q80,0.432520,0.542524,1.254334,0.796512,0.691860,0.108140,,,
designsafe_rc_columns,DesignSafe circular RC columns,Ridge,regression,absolute residual q90,0.633319,0.743759,1.174384,0.895349,0.860465,0.039535,,,
designsafe_rc_columns,DesignSafe circular RC columns,Ridge,regression,absolute residual q95,0.912122,0.857633,0.940262,0.947674,0.959302,-0.009302,,,
designsafe_rc_columns,DesignSafe circular RC columns,Random Forest,regression,absolute residual q80,0.255119,0.455563,1.785691,0.796512,0.517442,0.282558,,,
designsafe_rc_columns,DesignSafe circular RC columns,Random Forest,regression,absolute residual q90,0.489722,0.704881,1.439350,0.895349,0.831395,0.068605,,,
designsafe_rc_columns,DesignSafe circular RC columns,Random Forest,regression,absolute residual q95,0.634142,0.782412,1.233810,0.947674,0.872093,0.077907,,,
designsafe_rc_columns,DesignSafe circular RC columns,Gradient Boosting,regression,absolute residual q80,0.260408,0.502695,1.930413,0.796512,0.540698,0.259302,,,
designsafe_rc_columns,DesignSafe circular RC columns,Gradient Boosting,regression,absolute residual q90,0.375210,0.721188,1.922089,0.895349,0.709302,0.190698,,,
designsafe_rc_columns,DesignSafe circular RC columns,Gradient Boosting,regression,absolute residual q95,0.549510,0.911745,1.659195,0.947674,0.825581,0.124419,,,
designsafe_rc_columns,DesignSafe rectangular RC columns,Ridge,regression,absolute residual q80,0.235908,0.349544,1.481695,0.800000,0.683077,0.116923,,,
designsafe_rc_columns,DesignSafe rectangular RC columns,Ridge,regression,absolute residual q90,0.396355,0.497682,1.255647,0.898462,0.858462,0.041538,,,
designsafe_rc_columns,DesignSafe rectangular RC columns,Ridge,regression,absolute residual q95,0.483878,0.599330,1.238597,0.947692,0.895385,0.054615,,,
designsafe_rc_columns,DesignSafe rectangular RC columns,Random Forest,regression,absolute residual q80,0.187631,0.438461,2.336827,0.800000,0.486154,0.313846,,,
designsafe_rc_columns,DesignSafe rectangular RC columns,Random Forest,regression,absolute residual q90,0.332681,0.566536,1.702942,0.898462,0.664615,0.235385,,,
designsafe_rc_columns,DesignSafe rectangular RC columns,Random Forest,regression,absolute residual q95,0.449625,0.739817,1.645409,0.947692,0.821538,0.128462,,,
designsafe_rc_columns,DesignSafe rectangular RC columns,Gradient Boosting,regression,absolute residual q80,0.145053,0.353817,2.439224,0.800000,0.458462,0.341538,,,
designsafe_rc_columns,DesignSafe rectangular RC columns,Gradient Boosting,regression,absolute residual q90,0.236433,0.539639,2.282417,0.898462,0.596923,0.303077,,,
designsafe_rc_columns,DesignSafe rectangular RC columns,Gradient Boosting,regression,absolute residual q95,0.313876,0.690995,2.201491,0.947692,0.732308,0.217692,,,
designsafe_rc_columns,DesignSafe RC columns combined,Ridge,regression,absolute residual q80,0.366500,0.444139,1.211839,0.798793,0.696177,0.103823,,,
designsafe_rc_columns,DesignSafe RC columns combined,Ridge,regression,absolute residual q90,0.489560,0.651248,1.330273,0.899396,0.835010,0.064990,,,
designsafe_rc_columns,DesignSafe RC columns combined,Ridge,regression,absolute residual q95,0.697639,0.796083,1.141110,0.949698,0.919517,0.030483,,,
designsafe_rc_columns,DesignSafe RC columns combined,Random Forest,regression,absolute residual q80,0.185987,0.372236,2.001407,0.798793,0.517103,0.282897,,,
designsafe_rc_columns,DesignSafe RC columns combined,Random Forest,regression,absolute residual q90,0.327098,0.552379,1.688726,0.899396,0.736419,0.163581,,,
designsafe_rc_columns,DesignSafe RC columns combined,Random Forest,regression,absolute residual q95,0.592061,0.790405,1.335005,0.949698,0.913481,0.036519,,,
designsafe_rc_columns,DesignSafe RC columns combined,Gradient Boosting,regression,absolute residual q80,0.167102,0.380123,2.274791,0.798793,0.531187,0.268813,,,
designsafe_rc_columns,DesignSafe RC columns combined,Gradient Boosting,regression,absolute residual q90,0.277856,0.558652,2.010581,0.899396,0.708249,0.191751,,,
designsafe_rc_columns,DesignSafe RC columns combined,Gradient Boosting,regression,absolute residual q95,0.501711,0.723447,1.441960,0.949698,0.875252,0.074748,,,
mendeley_beam_column_joint,Mendeley exterior RC beam-column joints|shear_strength_regression,Ridge,regression,absolute residual q80,0.340691,0.488144,1.432804,0.798030,0.630542,0.169458,,,
mendeley_beam_column_joint,Mendeley exterior RC beam-column joints|shear_strength_regression,Ridge,regression,absolute residual q90,0.496894,0.603415,1.214374,0.896552,0.822660,0.077340,,,
mendeley_beam_column_joint,Mendeley exterior RC beam-column joints|shear_strength_regression,Ridge,regression,absolute residual q95,0.651375,0.905057,1.389456,0.945813,0.916256,0.033744,,,
mendeley_beam_column_joint,Mendeley exterior RC beam-column joints|shear_strength_regression,Random Forest,regression,absolute residual q80,0.158473,0.433161,2.733339,0.798030,0.458128,0.341872,,,
mendeley_beam_column_joint,Mendeley exterior RC beam-column joints|shear_strength_regression,Random Forest,regression,absolute residual q90,0.259670,0.639865,2.464146,0.896552,0.640394,0.259606,,,
mendeley_beam_column_joint,Mendeley exterior RC beam-column joints|shear_strength_regression,Random Forest,regression,absolute residual q95,0.368607,0.778779,2.112762,0.945813,0.724138,0.225862,,,
mendeley_beam_column_joint,Mendeley exterior RC beam-column joints|shear_strength_regression,Gradient Boosting,regression,absolute residual q80,0.139965,0.415401,2.967902,0.798030,0.507389,0.292611,,,
mendeley_beam_column_joint,Mendeley exterior RC beam-column joints|shear_strength_regression,Gradient Boosting,regression,absolute residual q90,0.252321,0.657967,2.607656,0.896552,0.615764,0.284236,,,
mendeley_beam_column_joint,Mendeley exterior RC beam-column joints|shear_strength_regression,Gradient Boosting,regression,absolute residual q95,0.391053,0.797149,2.038466,0.945813,0.778325,0.171675,,,
mendeley_beam_column_joint,Mendeley cyclic beam-column joint shear|joint_shear_strength_regression,Ridge,regression,absolute residual q80,0.285351,0.571341,2.002239,0.795918,0.489796,0.310204,,,
mendeley_beam_column_joint,Mendeley cyclic beam-column joint shear|joint_shear_strength_regression,Ridge,regression,absolute residual q90,0.503137,0.783582,1.557393,0.897959,0.683673,0.216327,,,
mendeley_beam_column_joint,Mendeley cyclic beam-column joint shear|joint_shear_strength_regression,Ridge,regression,absolute residual q95,0.541664,0.844332,1.558776,0.948980,0.755102,0.194898,,,
mendeley_beam_column_joint,Mendeley cyclic beam-column joint shear|joint_shear_strength_regression,Random Forest,regression,absolute residual q80,0.228983,0.587080,2.563857,0.795918,0.295918,0.504082,,,
mendeley_beam_column_joint,Mendeley cyclic beam-column joint shear|joint_shear_strength_regression,Random Forest,regression,absolute residual q90,0.387574,0.882734,2.277589,0.897959,0.540816,0.359184,,,
mendeley_beam_column_joint,Mendeley cyclic beam-column joint shear|joint_shear_strength_regression,Random Forest,regression,absolute residual q95,0.559566,0.909391,1.625172,0.948980,0.765306,0.184694,,,
mendeley_beam_column_joint,Mendeley cyclic beam-column joint shear|joint_shear_strength_regression,Gradient Boosting,regression,absolute residual q80,0.199939,0.569198,2.846864,0.795918,0.193878,0.606122,,,
mendeley_beam_column_joint,Mendeley cyclic beam-column joint shear|joint_shear_strength_regression,Gradient Boosting,regression,absolute residual q90,0.301777,0.722106,2.392843,0.897959,0.438776,0.461224,,,
mendeley_beam_column_joint,Mendeley cyclic beam-column joint shear|joint_shear_strength_regression,Gradient Boosting,regression,absolute residual q95,0.371983,1.523333,4.095165,0.948980,0.530612,0.419388,,,
