module,descriptor,model,n_pairs,scale_mean_abs_y,random_nmae,grouped_nmae,delta_nmae_grouped_minus_random,random_overprediction_rate,grouped_overprediction_rate,delta_overprediction_rate_grouped_minus_random,random_p90_abs_error_norm,grouped_p90_abs_error_norm,random_mean_positive_error_norm,grouped_mean_positive_error_norm
10-5281-zenodo-8062007,10-5281-zenodo-8062007,Random Forest,804,2.606567,0.039084,0.139615,0.100531,0.468905,0.532338,0.063433,0.086537,0.307901,0.019365,0.072712
10-5281-zenodo-8062007,10-5281-zenodo-8062007,Gradient Boosting,804,2.606567,0.044196,0.120688,0.076492,0.462687,0.542289,0.079602,0.091431,0.253595,0.022269,0.065418
designsafe_prj2430_wall,PRJ-2430 RC wall peak lateral strength|Vmax,Ridge,142,118.897522,0.457370,1.094311,0.636942,0.500000,0.492958,-0.007042,1.070807,2.665010,0.258907,0.422145
designsafe_prj2430_wall,PRJ-2430 RC wall peak lateral strength|Vmax,Random Forest,142,118.897522,0.323836,0.626399,0.302563,0.584507,0.570423,-0.014085,0.863162,1.175930,0.166552,0.256733
designsafe_prj2430_wall,PRJ-2430 RC wall peak lateral strength|Vmax,Gradient Boosting,142,118.897522,0.332847,0.611020,0.278173,0.549296,0.584507,0.035211,0.895356,1.234547,0.172608,0.238251
designsafe_prj2430_wall,PRJ-2430 RC wall drift capacity|driftCap,Ridge,142,2.168476,0.392415,0.885662,0.493248,0.478873,0.429577,-0.049296,0.820444,1.911162,0.195067,0.461662
designsafe_prj2430_wall,PRJ-2430 RC wall drift capacity|driftCap,Random Forest,142,2.168476,0.300727,0.422750,0.122023,0.542254,0.478873,-0.063380,0.570657,0.953231,0.161622,0.220628
designsafe_prj2430_wall,PRJ-2430 RC wall drift capacity|driftCap,Gradient Boosting,142,2.168476,0.323286,0.493392,0.170106,0.535211,0.535211,0.000000,0.762841,1.070221,0.174569,0.261897
designsafe_prj3053_coupling_beams,PRJ-3053 coupling beam peak shear|V_m_avg_kips,Ridge,60,169.733333,0.209912,0.204794,-0.005118,0.533333,0.566667,0.033333,0.414134,0.446423,0.084654,0.101321
designsafe_prj3053_coupling_beams,PRJ-3053 coupling beam peak shear|V_m_avg_kips,Random Forest,60,169.733333,0.226946,0.220495,-0.006452,0.500000,0.566667,0.066667,0.456978,0.412191,0.116644,0.126121
designsafe_prj3053_coupling_beams,PRJ-3053 coupling beam peak shear|V_m_avg_kips,Gradient Boosting,60,169.733333,0.211035,0.246298,0.035263,0.500000,0.600000,0.100000,0.407699,0.502815,0.103168,0.136983
designsafe_prj3053_coupling_beams,PRJ-3053 coupling beam normalized shear|v_m_normalized,Ridge,60,11.666667,0.148312,0.172216,0.023904,0.533333,0.566667,0.033333,0.315971,0.317948,0.064837,0.108760
designsafe_prj3053_coupling_beams,PRJ-3053 coupling beam normalized shear|v_m_normalized,Random Forest,60,11.666667,0.166272,0.218862,0.052591,0.550000,0.466667,-0.083333,0.352311,0.581349,0.081368,0.125164
designsafe_prj3053_coupling_beams,PRJ-3053 coupling beam normalized shear|v_m_normalized,Gradient Boosting,60,11.666667,0.171739,0.210089,0.038349,0.633333,0.550000,-0.083333,0.385939,0.533500,0.086468,0.127244
designsafe_prj3053_coupling_beams,PRJ-3053 coupling beam chord-rotation capacity|CR_capacity_average,Ridge,60,5.972500,0.183007,0.232702,0.049695,0.483333,0.550000,0.066667,0.369487,0.487994,0.101858,0.135309
designsafe_prj3053_coupling_beams,PRJ-3053 coupling beam chord-rotation capacity|CR_capacity_average,Random Forest,60,5.972500,0.144068,0.186249,0.042180,0.550000,0.550000,0.000000,0.301899,0.366841,0.076373,0.107987
designsafe_prj3053_coupling_beams,PRJ-3053 coupling beam chord-rotation capacity|CR_capacity_average,Gradient Boosting,60,5.972500,0.141595,0.187915,0.046320,0.416667,0.650000,0.233333,0.262549,0.405301,0.068168,0.129828
designsafe_rc_columns,DesignSafe circular RC columns,Ridge,172,63.232733,0.315044,0.363350,0.048306,0.470930,0.534884,0.063953,0.633319,0.743759,0.149773,0.193406
designsafe_rc_columns,DesignSafe circular RC columns,Random Forest,172,63.232733,0.230266,0.364647,0.134381,0.598837,0.593023,-0.005814,0.489722,0.704881,0.106015,0.178038
designsafe_rc_columns,DesignSafe circular RC columns,Gradient Boosting,172,63.232733,0.211903,0.377715,0.165812,0.523256,0.546512,0.023256,0.375210,0.721188,0.097676,0.179801
designsafe_rc_columns,DesignSafe rectangular RC columns,Ridge,325,48.534554,0.173766,0.232086,0.058320,0.489231,0.452308,-0.036923,0.396355,0.497682,0.090099,0.109653
designsafe_rc_columns,DesignSafe rectangular RC columns,Random Forest,325,48.534554,0.133293,0.282642,0.149349,0.603077,0.547692,-0.055385,0.332681,0.566536,0.060222,0.140960
designsafe_rc_columns,DesignSafe rectangular RC columns,Gradient Boosting,325,48.534554,0.102038,0.247271,0.145233,0.532308,0.633846,0.101538,0.236433,0.539639,0.046895,0.149482
designsafe_rc_columns,DesignSafe RC columns combined,Ridge,497,53.621247,0.256877,0.311452,0.054575,0.503018,0.472837,-0.030181,0.489560,0.651248,0.123445,0.144524
designsafe_rc_columns,DesignSafe RC columns combined,Random Forest,497,53.621247,0.163387,0.287430,0.124044,0.579477,0.601610,0.022133,0.327098,0.552379,0.066535,0.139756
designsafe_rc_columns,DesignSafe RC columns combined,Gradient Boosting,497,53.621247,0.156057,0.268260,0.112202,0.577465,0.621730,0.044266,0.277856,0.558652,0.061455,0.133795
mendeley_beam_column_joint,Mendeley exterior RC beam-column joints|shear_strength_regression,Ridge,203,419.220394,0.226459,0.316747,0.090288,0.448276,0.467980,0.019704,0.496894,0.603415,0.112204,0.156567
mendeley_beam_column_joint,Mendeley exterior RC beam-column joints|shear_strength_regression,Random Forest,203,419.220394,0.102930,0.273332,0.170402,0.487685,0.502463,0.014778,0.259670,0.639865,0.051720,0.099610
mendeley_beam_column_joint,Mendeley exterior RC beam-column joints|shear_strength_regression,Gradient Boosting,203,419.220394,0.102515,0.255245,0.152730,0.487685,0.443350,-0.044335,0.252321,0.657967,0.053585,0.081919
mendeley_beam_column_joint,Mendeley cyclic beam-column joint shear|joint_shear_strength_regression,Ridge,98,6.730306,0.196138,0.369774,0.173636,0.500000,0.714286,0.214286,0.503137,0.783582,0.104068,0.267035
mendeley_beam_column_joint,Mendeley cyclic beam-column joint shear|joint_shear_strength_regression,Random Forest,98,6.730306,0.158130,0.415429,0.257300,0.500000,0.734694,0.234694,0.387574,0.882734,0.088516,0.301015
mendeley_beam_column_joint,Mendeley cyclic beam-column joint shear|joint_shear_strength_regression,Gradient Boosting,98,6.730306,0.113373,0.444796,0.331423,0.489796,0.724490,0.234694,0.301777,0.722106,0.062119,0.332191
