module,descriptor,model,split,top_share,top_k,spearman_rank_correlation,top_k_overlap_with_true_top,normalized_screening_regret,false_reassurance_share
10-1038-s41598-024-53352-1,10-1038-s41598-024-53352-1,Random Forest,grouped,0.30,395,-0.318962,0.060759,0.240798,0.782278
10-1038-s41598-024-53352-1,10-1038-s41598-024-53352-1,Gradient Boosting,random,0.10,132,0.882766,0.643939,0.039626,0.022727
10-1038-s41598-024-53352-1,10-1038-s41598-024-53352-1,Gradient Boosting,grouped,0.10,132,-0.299467,0.000000,0.352831,0.803030
10-1038-s41598-024-53352-1,10-1038-s41598-024-53352-1,Gradient Boosting,random,0.20,264,0.882766,0.708333,0.028053,0.030303
10-1038-s41598-024-53352-1,10-1038-s41598-024-53352-1,Gradient Boosting,grouped,0.20,264,-0.299467,0.015152,0.283222,0.787879
10-1038-s41598-024-53352-1,10-1038-s41598-024-53352-1,Gradient Boosting,random,0.30,395,0.882766,0.822785,0.015391,0.037975
10-1038-s41598-024-53352-1,10-1038-s41598-024-53352-1,Gradient Boosting,grouped,0.30,395,-0.299467,0.065823,0.237614,0.764557
10-5281-zenodo-8062007,10-5281-zenodo-8062007,Ridge,random,0.10,81,0.981692,0.864198,0.009347,0.000000
10-5281-zenodo-8062007,10-5281-zenodo-8062007,Ridge,grouped,0.10,81,0.883971,0.740741,0.049511,0.000000
10-5281-zenodo-8062007,10-5281-zenodo-8062007,Ridge,random,0.20,161,0.981692,0.906832,0.006565,0.000000
10-5281-zenodo-8062007,10-5281-zenodo-8062007,Ridge,grouped,0.20,161,0.883971,0.813665,0.027035,0.000000
10-5281-zenodo-8062007,10-5281-zenodo-8062007,Ridge,random,0.30,242,0.981692,0.925620,0.008039,0.000000
10-5281-zenodo-8062007,10-5281-zenodo-8062007,Ridge,grouped,0.30,242,0.883971,0.867769,0.022948,0.000000
10-5281-zenodo-8062007,10-5281-zenodo-8062007,Random Forest,random,0.10,81,0.988414,0.888889,0.006471,0.000000
10-5281-zenodo-8062007,10-5281-zenodo-8062007,Random Forest,grouped,0.10,81,0.892575,0.567901,0.115366,0.000000
10-5281-zenodo-8062007,10-5281-zenodo-8062007,Random Forest,random,0.20,161,0.988414,0.925466,0.006399,0.000000
10-5281-zenodo-8062007,10-5281-zenodo-8062007,Random Forest,grouped,0.20,161,0.892575,0.813665,0.046110,0.000000
10-5281-zenodo-8062007,10-5281-zenodo-8062007,Random Forest,random,0.30,242,0.988414,0.933884,0.008081,0.000000
10-5281-zenodo-8062007,10-5281-zenodo-8062007,Random Forest,grouped,0.30,242,0.892575,0.851240,0.020596,0.000000
10-5281-zenodo-8062007,10-5281-zenodo-8062007,Gradient Boosting,random,0.10,81,0.987745,0.888889,0.004637,0.000000
10-5281-zenodo-8062007,10-5281-zenodo-8062007,Gradient Boosting,grouped,0.10,81,0.919217,0.740741,0.031737,0.000000
10-5281-zenodo-8062007,10-5281-zenodo-8062007,Gradient Boosting,random,0.20,161,0.987745,0.931677,0.005242,0.000000
10-5281-zenodo-8062007,10-5281-zenodo-8062007,Gradient Boosting,grouped,0.20,161,0.919217,0.844720,0.030889,0.000000
10-5281-zenodo-8062007,10-5281-zenodo-8062007,Gradient Boosting,random,0.30,242,0.987745,0.938017,0.006670,0.000000
10-5281-zenodo-8062007,10-5281-zenodo-8062007,Gradient Boosting,grouped,0.30,242,0.919217,0.855372,0.019711,0.000000
designsafe_prj2430_wall,PRJ-2430 RC wall peak lateral strength|Vmax,Ridge,random,0.10,15,0.767436,0.600000,0.508467,0.066667
designsafe_prj2430_wall,PRJ-2430 RC wall peak lateral strength|Vmax,Ridge,grouped,0.10,15,-0.172822,0.133333,1.965451,0.466667
designsafe_prj2430_wall,PRJ-2430 RC wall peak lateral strength|Vmax,Ridge,random,0.20,29,0.767436,0.551724,0.337023,0.172414
designsafe_prj2430_wall,PRJ-2430 RC wall peak lateral strength|Vmax,Ridge,grouped,0.20,29,-0.172822,0.137931,1.538793,0.517241
designsafe_prj2430_wall,PRJ-2430 RC wall peak lateral strength|Vmax,Ridge,random,0.30,43,0.767436,0.720930,0.262156,0.162791
designsafe_prj2430_wall,PRJ-2430 RC wall peak lateral strength|Vmax,Ridge,grouped,0.30,43,-0.172822,0.232558,1.325964,0.604651
designsafe_prj2430_wall,PRJ-2430 RC wall peak lateral strength|Vmax,Random Forest,random,0.10,15,0.843545,0.666667,0.284207,0.066667
designsafe_prj2430_wall,PRJ-2430 RC wall peak lateral strength|Vmax,Random Forest,grouped,0.10,15,0.352799,0.066667,1.934954,0.533333
designsafe_prj2430_wall,PRJ-2430 RC wall peak lateral strength|Vmax,Random Forest,random,0.20,29,0.843545,0.620690,0.252368,0.103448
designsafe_prj2430_wall,PRJ-2430 RC wall peak lateral strength|Vmax,Random Forest,grouped,0.20,29,0.352799,0.103448,1.465536,0.586207
designsafe_prj2430_wall,PRJ-2430 RC wall peak lateral strength|Vmax,Random Forest,random,0.30,43,0.843545,0.767442,0.206475,0.139535
designsafe_prj2430_wall,PRJ-2430 RC wall peak lateral strength|Vmax,Random Forest,grouped,0.30,43,0.352799,0.441860,0.690637,0.395349
designsafe_prj2430_wall,PRJ-2430 RC wall peak lateral strength|Vmax,Gradient Boosting,random,0.10,15,0.837750,0.600000,0.308252,0.000000
designsafe_prj2430_wall,PRJ-2430 RC wall peak lateral strength|Vmax,Gradient Boosting,grouped,0.10,15,0.302169,0.200000,1.427788,0.266667
designsafe_prj2430_wall,PRJ-2430 RC wall peak lateral strength|Vmax,Gradient Boosting,random,0.20,29,0.837750,0.586207,0.306270,0.103448
designsafe_prj2430_wall,PRJ-2430 RC wall peak lateral strength|Vmax,Gradient Boosting,grouped,0.20,29,0.302169,0.344828,0.625417,0.206897
designsafe_prj2430_wall,PRJ-2430 RC wall peak lateral strength|Vmax,Gradient Boosting,random,0.30,43,0.837750,0.767442,0.208949,0.093023
designsafe_prj2430_wall,PRJ-2430 RC wall peak lateral strength|Vmax,Gradient Boosting,grouped,0.30,43,0.302169,0.441860,0.671182,0.279070
designsafe_prj2430_wall,PRJ-2430 RC wall drift capacity|driftCap,Ridge,random,0.10,15,0.518026,0.400000,0.592091,0.066667
designsafe_prj2430_wall,PRJ-2430 RC wall drift capacity|driftCap,Ridge,grouped,0.10,15,-0.187782,0.133333,1.235136,0.733333
designsafe_prj2430_wall,PRJ-2430 RC wall drift capacity|driftCap,Ridge,random,0.20,29,0.518026,0.586207,0.395589,0.172414
designsafe_prj2430_wall,PRJ-2430 RC wall drift capacity|driftCap,Ridge,grouped,0.20,29,-0.187782,0.103448,0.982873,0.724138
designsafe_prj2430_wall,PRJ-2430 RC wall drift capacity|driftCap,Ridge,random,0.30,43,0.518026,0.651163,0.269848,0.209302
designsafe_prj2430_wall,PRJ-2430 RC wall drift capacity|driftCap,Ridge,grouped,0.30,43,-0.187782,0.139535,0.873422,0.744186
designsafe_prj2430_wall,PRJ-2430 RC wall drift capacity|driftCap,Random Forest,random,0.10,15,0.710439,0.600000,0.517517,0.000000
designsafe_prj2430_wall,PRJ-2430 RC wall drift capacity|driftCap,Random Forest,grouped,0.10,15,0.272648,0.266667,0.965576,0.466667
designsafe_prj2430_wall,PRJ-2430 RC wall drift capacity|driftCap,Random Forest,random,0.20,29,0.710439,0.586207,0.333036,0.068966
designsafe_prj2430_wall,PRJ-2430 RC wall drift capacity|driftCap,Random Forest,grouped,0.20,29,0.272648,0.310345,0.651849,0.379310
designsafe_prj2430_wall,PRJ-2430 RC wall drift capacity|driftCap,Random Forest,random,0.30,43,0.710439,0.674419,0.268304,0.162791
designsafe_prj2430_wall,PRJ-2430 RC wall drift capacity|driftCap,Random Forest,grouped,0.30,43,0.272648,0.441860,0.438925,0.372093
designsafe_prj2430_wall,PRJ-2430 RC wall drift capacity|driftCap,Gradient Boosting,random,0.10,15,0.658172,0.466667,0.633854,0.066667
designsafe_prj2430_wall,PRJ-2430 RC wall drift capacity|driftCap,Gradient Boosting,grouped,0.10,15,0.112985,0.066667,1.215771,0.666667
designsafe_prj2430_wall,PRJ-2430 RC wall drift capacity|driftCap,Gradient Boosting,random,0.20,29,0.658172,0.586207,0.360203,0.103448
designsafe_prj2430_wall,PRJ-2430 RC wall drift capacity|driftCap,Gradient Boosting,grouped,0.20,29,0.112985,0.068966,0.904797,0.620690
designsafe_prj2430_wall,PRJ-2430 RC wall drift capacity|driftCap,Gradient Boosting,random,0.30,43,0.658172,0.697674,0.256183,0.139535
designsafe_prj2430_wall,PRJ-2430 RC wall drift capacity|driftCap,Gradient Boosting,grouped,0.30,43,0.112985,0.279070,0.620515,0.488372
designsafe_prj3053_coupling_beams,PRJ-3053 coupling beam peak shear|V_m_avg_kips,Ridge,random,0.10,6,0.893730,0.333333,0.197368,0.000000
designsafe_prj3053_coupling_beams,PRJ-3053 coupling beam peak shear|V_m_avg_kips,Ridge,grouped,0.10,6,0.885144,0.333333,0.373625,0.166667
designsafe_prj3053_coupling_beams,PRJ-3053 coupling beam peak shear|V_m_avg_kips,Ridge,random,0.20,12,0.893730,0.750000,0.095247,0.083333
designsafe_prj3053_coupling_beams,PRJ-3053 coupling beam peak shear|V_m_avg_kips,Ridge,grouped,0.20,12,0.885144,0.666667,0.103348,0.083333
designsafe_prj3053_coupling_beams,PRJ-3053 coupling beam peak shear|V_m_avg_kips,Ridge,random,0.30,18,0.893730,0.777778,0.081991,0.055556
designsafe_prj3053_coupling_beams,PRJ-3053 coupling beam peak shear|V_m_avg_kips,Ridge,grouped,0.30,18,0.885144,0.777778,0.079537,0.055556
designsafe_prj3053_coupling_beams,PRJ-3053 coupling beam peak shear|V_m_avg_kips,Random Forest,random,0.10,6,0.821651,0.166667,0.326984,0.000000
designsafe_prj3053_coupling_beams,PRJ-3053 coupling beam peak shear|V_m_avg_kips,Random Forest,grouped,0.10,6,0.832905,0.333333,0.157600,0.000000
designsafe_prj3053_coupling_beams,PRJ-3053 coupling beam peak shear|V_m_avg_kips,Random Forest,random,0.20,12,0.821651,0.416667,0.288443,0.000000
designsafe_prj3053_coupling_beams,PRJ-3053 coupling beam peak shear|V_m_avg_kips,Random Forest,grouped,0.20,12,0.832905,0.583333,0.106540,0.000000
designsafe_prj3053_coupling_beams,PRJ-3053 coupling beam peak shear|V_m_avg_kips,Random Forest,random,0.30,18,0.821651,0.666667,0.134852,0.000000
designsafe_prj3053_coupling_beams,PRJ-3053 coupling beam peak shear|V_m_avg_kips,Random Forest,grouped,0.30,18,0.832905,0.722222,0.107685,0.055556
designsafe_prj3053_coupling_beams,PRJ-3053 coupling beam peak shear|V_m_avg_kips,Gradient Boosting,random,0.10,6,0.826347,0.166667,0.351532,0.000000
designsafe_prj3053_coupling_beams,PRJ-3053 coupling beam peak shear|V_m_avg_kips,Gradient Boosting,grouped,0.10,6,0.787915,0.166667,0.392773,0.000000
designsafe_prj3053_coupling_beams,PRJ-3053 coupling beam peak shear|V_m_avg_kips,Gradient Boosting,random,0.20,12,0.826347,0.666667,0.193195,0.000000
designsafe_prj3053_coupling_beams,PRJ-3053 coupling beam peak shear|V_m_avg_kips,Gradient Boosting,grouped,0.20,12,0.787915,0.666667,0.133297,0.083333
designsafe_prj3053_coupling_beams,PRJ-3053 coupling beam peak shear|V_m_avg_kips,Gradient Boosting,random,0.30,18,0.826347,0.722222,0.113250,0.000000
designsafe_prj3053_coupling_beams,PRJ-3053 coupling beam peak shear|V_m_avg_kips,Gradient Boosting,grouped,0.30,18,0.787915,0.666667,0.105230,0.055556
designsafe_prj3053_coupling_beams,PRJ-3053 coupling beam normalized shear|v_m_normalized,Ridge,random,0.10,6,0.894663,0.666667,0.127143,0.000000
designsafe_prj3053_coupling_beams,PRJ-3053 coupling beam normalized shear|v_m_normalized,Ridge,grouped,0.10,6,0.872876,0.666667,0.070000,0.000000
designsafe_prj3053_coupling_beams,PRJ-3053 coupling beam normalized shear|v_m_normalized,Ridge,random,0.20,12,0.894663,0.666667,0.079286,0.000000
designsafe_prj3053_coupling_beams,PRJ-3053 coupling beam normalized shear|v_m_normalized,Ridge,grouped,0.20,12,0.872876,0.583333,0.134286,0.000000
designsafe_prj3053_coupling_beams,PRJ-3053 coupling beam normalized shear|v_m_normalized,Ridge,random,0.30,18,0.894663,0.666667,0.060476,0.000000
designsafe_prj3053_coupling_beams,PRJ-3053 coupling beam normalized shear|v_m_normalized,Ridge,grouped,0.30,18,0.872876,0.666667,0.057619,0.000000
designsafe_prj3053_coupling_beams,PRJ-3053 coupling beam normalized shear|v_m_normalized,Random Forest,random,0.10,6,0.814545,0.333333,0.444286,0.166667
designsafe_prj3053_coupling_beams,PRJ-3053 coupling beam normalized shear|v_m_normalized,Random Forest,grouped,0.10,6,0.521197,0.333333,0.382857,0.000000
designsafe_prj3053_coupling_beams,PRJ-3053 coupling beam normalized shear|v_m_normalized,Random Forest,random,0.20,12,0.814545,0.583333,0.189286,0.083333
designsafe_prj3053_coupling_beams,PRJ-3053 coupling beam normalized shear|v_m_normalized,Random Forest,grouped,0.20,12,0.521197,0.583333,0.226429,0.083333
designsafe_prj3053_coupling_beams,PRJ-3053 coupling beam normalized shear|v_m_normalized,Random Forest,random,0.30,18,0.814545,0.722222,0.050476,0.055556
designsafe_prj3053_coupling_beams,PRJ-3053 coupling beam normalized shear|v_m_normalized,Random Forest,grouped,0.30,18,0.521197,0.555556,0.243810,0.277778
designsafe_prj3053_coupling_beams,PRJ-3053 coupling beam normalized shear|v_m_normalized,Gradient Boosting,random,0.10,6,0.798010,0.333333,0.350000,0.000000
designsafe_prj3053_coupling_beams,PRJ-3053 coupling beam normalized shear|v_m_normalized,Gradient Boosting,grouped,0.10,6,0.640062,0.166667,0.404286,0.000000
designsafe_prj3053_coupling_beams,PRJ-3053 coupling beam normalized shear|v_m_normalized,Gradient Boosting,random,0.20,12,0.798010,0.500000,0.200714,0.083333
designsafe_prj3053_coupling_beams,PRJ-3053 coupling beam normalized shear|v_m_normalized,Gradient Boosting,grouped,0.20,12,0.640062,0.500000,0.194286,0.000000
designsafe_prj3053_coupling_beams,PRJ-3053 coupling beam normalized shear|v_m_normalized,Gradient Boosting,random,0.30,18,0.798010,0.722222,0.065238,0.055556
designsafe_prj3053_coupling_beams,PRJ-3053 coupling beam normalized shear|v_m_normalized,Gradient Boosting,grouped,0.30,18,0.640062,0.722222,0.103333,0.055556
designsafe_prj3053_coupling_beams,PRJ-3053 coupling beam chord-rotation capacity|CR_capacity_average,Ridge,random,0.10,6,0.816446,0.333333,0.308358,0.000000
designsafe_prj3053_coupling_beams,PRJ-3053 coupling beam chord-rotation capacity|CR_capacity_average,Ridge,grouped,0.10,6,0.690779,0.333333,0.270685,0.000000
designsafe_prj3053_coupling_beams,PRJ-3053 coupling beam chord-rotation capacity|CR_capacity_average,Ridge,random,0.20,12,0.816446,0.583333,0.196735,0.083333
designsafe_prj3053_coupling_beams,PRJ-3053 coupling beam chord-rotation capacity|CR_capacity_average,Ridge,grouped,0.20,12,0.690779,0.416667,0.297195,0.166667
designsafe_prj3053_coupling_beams,PRJ-3053 coupling beam chord-rotation capacity|CR_capacity_average,Ridge,random,0.30,18,0.816446,0.722222,0.099065,0.055556
designsafe_prj3053_coupling_beams,PRJ-3053 coupling beam chord-rotation capacity|CR_capacity_average,Ridge,grouped,0.30,18,0.690779,0.611111,0.182782,0.111111
designsafe_prj3053_coupling_beams,PRJ-3053 coupling beam chord-rotation capacity|CR_capacity_average,Random Forest,random,0.10,6,0.854797,0.666667,0.121390,0.000000
designsafe_prj3053_coupling_beams,PRJ-3053 coupling beam chord-rotation capacity|CR_capacity_average,Random Forest,grouped,0.10,6,0.830909,0.500000,0.177201,0.000000
designsafe_prj3053_coupling_beams,PRJ-3053 coupling beam chord-rotation capacity|CR_capacity_average,Random Forest,random,0.20,12,0.854797,0.750000,0.105344,0.083333
designsafe_prj3053_coupling_beams,PRJ-3053 coupling beam chord-rotation capacity|CR_capacity_average,Random Forest,grouped,0.20,12,0.830909,0.666667,0.126971,0.000000
designsafe_prj3053_coupling_beams,PRJ-3053 coupling beam chord-rotation capacity|CR_capacity_average,Random Forest,random,0.30,18,0.854797,0.722222,0.065113,0.055556
designsafe_prj3053_coupling_beams,PRJ-3053 coupling beam chord-rotation capacity|CR_capacity_average,Random Forest,grouped,0.30,18,0.830909,0.666667,0.075345,0.000000
designsafe_prj3053_coupling_beams,PRJ-3053 coupling beam chord-rotation capacity|CR_capacity_average,Gradient Boosting,random,0.10,6,0.859576,0.666667,0.175806,0.166667
designsafe_prj3053_coupling_beams,PRJ-3053 coupling beam chord-rotation capacity|CR_capacity_average,Gradient Boosting,grouped,0.10,6,0.823961,0.500000,0.213478,0.000000
designsafe_prj3053_coupling_beams,PRJ-3053 coupling beam chord-rotation capacity|CR_capacity_average,Gradient Boosting,random,0.20,12,0.859576,0.666667,0.131854,0.083333
designsafe_prj3053_coupling_beams,PRJ-3053 coupling beam chord-rotation capacity|CR_capacity_average,Gradient Boosting,grouped,0.20,12,0.823961,0.500000,0.191852,0.000000
designsafe_prj3053_coupling_beams,PRJ-3053 coupling beam chord-rotation capacity|CR_capacity_average,Gradient Boosting,random,0.30,18,0.859576,0.666667,0.095344,0.055556
designsafe_prj3053_coupling_beams,PRJ-3053 coupling beam chord-rotation capacity|CR_capacity_average,Gradient Boosting,grouped,0.30,18,0.823961,0.666667,0.067904,0.000000
designsafe_rc_columns,DesignSafe circular RC columns,Ridge,random,0.10,18,0.900290,0.611111,0.286842,0.055556
designsafe_rc_columns,DesignSafe circular RC columns,Ridge,grouped,0.10,18,0.863461,0.611111,0.353992,0.000000
designsafe_rc_columns,DesignSafe circular RC columns,Ridge,random,0.20,35,0.900290,0.714286,0.162045,0.028571
designsafe_rc_columns,DesignSafe circular RC columns,Ridge,grouped,0.20,35,0.863461,0.714286,0.160500,0.000000
designsafe_rc_columns,DesignSafe circular RC columns,Ridge,random,0.30,52,0.900290,0.865385,0.053371,0.019231
designsafe_rc_columns,DesignSafe circular RC columns,Ridge,grouped,0.30,52,0.863461,0.750000,0.145178,0.115385
designsafe_rc_columns,DesignSafe circular RC columns,Random Forest,random,0.10,18,0.930762,0.777778,0.072106,0.000000
designsafe_rc_columns,DesignSafe circular RC columns,Random Forest,grouped,0.10,18,0.800535,0.722222,0.149061,0.000000
designsafe_rc_columns,DesignSafe circular RC columns,Random Forest,random,0.20,35,0.930762,0.828571,0.098010,0.000000
designsafe_rc_columns,DesignSafe circular RC columns,Random Forest,grouped,0.20,35,0.800535,0.742857,0.202969,0.171429
designsafe_rc_columns,DesignSafe circular RC columns,Random Forest,random,0.30,52,0.930762,0.807692,0.101216,0.057692
designsafe_rc_columns,DesignSafe circular RC columns,Random Forest,grouped,0.30,52,0.800535,0.769231,0.160357,0.173077
designsafe_rc_columns,DesignSafe circular RC columns,Gradient Boosting,random,0.10,18,0.943933,0.666667,0.137288,0.000000
designsafe_rc_columns,DesignSafe circular RC columns,Gradient Boosting,grouped,0.10,18,0.767371,0.611111,0.372557,0.000000
designsafe_rc_columns,DesignSafe circular RC columns,Gradient Boosting,random,0.20,35,0.943933,0.828571,0.088268,0.000000
designsafe_rc_columns,DesignSafe circular RC columns,Gradient Boosting,grouped,0.20,35,0.767371,0.771429,0.175059,0.142857
designsafe_rc_columns,DesignSafe circular RC columns,Gradient Boosting,random,0.30,52,0.943933,0.846154,0.063365,0.038462
designsafe_rc_columns,DesignSafe circular RC columns,Gradient Boosting,grouped,0.30,52,0.767371,0.711538,0.203735,0.173077
designsafe_rc_columns,DesignSafe rectangular RC columns,Ridge,random,0.10,33,0.951043,0.666667,0.121619,0.000000
designsafe_rc_columns,DesignSafe rectangular RC columns,Ridge,grouped,0.10,33,0.923897,0.636364,0.164313,0.000000
designsafe_rc_columns,DesignSafe rectangular RC columns,Ridge,random,0.20,65,0.951043,0.815385,0.055038,0.000000
designsafe_rc_columns,DesignSafe rectangular RC columns,Ridge,grouped,0.20,65,0.923897,0.784615,0.081829,0.015385
designsafe_rc_columns,DesignSafe rectangular RC columns,Ridge,random,0.30,98,0.951043,0.918367,0.023629,0.000000
designsafe_rc_columns,DesignSafe rectangular RC columns,Ridge,grouped,0.30,98,0.923897,0.857143,0.069086,0.040816
designsafe_rc_columns,DesignSafe rectangular RC columns,Random Forest,random,0.10,33,0.964750,0.818182,0.079974,0.000000
designsafe_rc_columns,DesignSafe rectangular RC columns,Random Forest,grouped,0.10,33,0.813611,0.636364,0.242776,0.090909
designsafe_rc_columns,DesignSafe rectangular RC columns,Random Forest,random,0.20,65,0.964750,0.800000,0.074456,0.000000
designsafe_rc_columns,DesignSafe rectangular RC columns,Random Forest,grouped,0.20,65,0.813611,0.615385,0.242672,0.092308
designsafe_rc_columns,DesignSafe rectangular RC columns,Random Forest,random,0.30,98,0.964750,0.887755,0.036767,0.010204
designsafe_rc_columns,DesignSafe rectangular RC columns,Random Forest,grouped,0.30,98,0.813611,0.744898,0.150644,0.112245
