task,target,model,split,n_samples,n_groups,median_group_size,max_group_size,pooled_r2,mae,fold_mean_pooled_r2,fold_sd_pooled_r2,fold_mean_mae,fold_sd_mae,gap_vs_random
PRJ-3053 coupling beam normalized shear,v_m_normalized,Ridge,GroupKFold,60,21,2.0,9,0.6653831035131774,2.0091842649257985,0.42987317300253763,0.5117616906534013,2.0091842649257985,0.2605880050280067,0.050177299648816454
PRJ-3053 coupling beam normalized shear,v_m_normalized,Ridge,LeaveOneSourceOut,60,21,2.0,9,0.7197830309805046,1.8101696423781786,-8.084044758819902,17.71240082087051,1.6951800132947272,0.9230206322722957,-0.0042226278185106825
PRJ-3053 coupling beam normalized shear,v_m_normalized,Random Forest,RandomKFold,60,21,2.0,9,0.5521883345103087,1.93983700356742,0.4825538473928793,0.20261992658910644,1.9398370035674204,0.7213830813368315,0.0
PRJ-3053 coupling beam normalized shear,v_m_normalized,Random Forest,GroupKFold,60,21,2.0,9,0.24908193246413923,2.553393281625781,0.11758315600638777,0.3778587123610001,2.553393281625781,1.0874000577610679,0.30310640204616945
PRJ-3053 coupling beam normalized shear,v_m_normalized,Random Forest,LeaveOneSourceOut,60,21,2.0,9,0.2922566547265375,2.453805260141093,-8.816910512754447,25.034702723043967,2.067919092340639,1.5260018590430844,0.2599316797837712
PRJ-3053 coupling beam normalized shear,v_m_normalized,Gradient Boosting,RandomKFold,60,21,2.0,9,0.5375489248529801,2.0036226664773773,0.47097436467501075,0.2353816322235817,2.0036226664773773,0.8262100231332425,0.0
PRJ-3053 coupling beam normalized shear,v_m_normalized,Gradient Boosting,GroupKFold,60,21,2.0,9,0.2726873900297724,2.4510329192132714,-0.014504478898388951,0.7413040000866539,2.4510329192132714,0.9984805134888475,0.26486153482320773
PRJ-3053 coupling beam normalized shear,v_m_normalized,Gradient Boosting,LeaveOneSourceOut,60,21,2.0,9,0.2458346901448385,2.6691978829990073,-12.552782070930927,26.42602823176879,2.4083821711624402,1.4122176744291357,0.2917142347081416
PRJ-3053 coupling beam chord-rotation capacity,CR_capacity_average,Ridge,RandomKFold,60,21,2.0,9,0.6117321166457181,1.0930094149046141,0.5297666488867023,0.19774258187272703,1.0930094149046143,0.16979091531736862,0.0
PRJ-3053 coupling beam chord-rotation capacity,CR_capacity_average,Ridge,GroupKFold,60,21,2.0,9,0.35998407869076954,1.3898141033360472,-0.10895785997810059,0.5807688709828085,1.3898141033360472,0.03378350422536185,0.2517480379549486
PRJ-3053 coupling beam chord-rotation capacity,CR_capacity_average,Ridge,LeaveOneSourceOut,60,21,2.0,9,0.2638523291578678,1.4938499218650636,-13.877755560306504,32.91080363263152,1.6604938671122054,1.0936644895877625,0.3478797874878503
PRJ-3053 coupling beam chord-rotation capacity,CR_capacity_average,Random Forest,RandomKFold,60,21,2.0,9,0.7265495560498237,0.8604477378948208,0.6667873840175841,0.14650269579518876,0.8604477378948209,0.18438301729117146,0.0
PRJ-3053 coupling beam chord-rotation capacity,CR_capacity_average,Random Forest,GroupKFold,60,21,2.0,9,0.5915888488268153,1.1123691868085617,0.3569051899210657,0.35907857630671897,1.1123691868085617,0.2954489228797162,0.13496070722300846
PRJ-3053 coupling beam chord-rotation capacity,CR_capacity_average,Random Forest,LeaveOneSourceOut,60,21,2.0,9,0.6735402975883715,0.9640301878137288,-1.894453642113615,4.03390406708212,1.1087582377145788,0.6069815685694082,0.05300925846145221
PRJ-3053 coupling beam chord-rotation capacity,CR_capacity_average,Gradient Boosting,RandomKFold,60,21,2.0,9,0.7048704285006475,0.8456780863624481,0.6688173709561788,0.18155927608682795,0.845678086362448,0.2170047178372525,0.0
PRJ-3053 coupling beam chord-rotation capacity,CR_capacity_average,Gradient Boosting,GroupKFold,60,21,2.0,9,0.5565711293755846,1.1223219113036695,0.31970728676913596,0.18504995075948696,1.1223219113036698,0.23231892822872946,0.1482992991250629
PRJ-3053 coupling beam chord-rotation capacity,CR_capacity_average,Gradient Boosting,LeaveOneSourceOut,60,21,2.0,9,0.6245442647239805,0.9658501745564053,-4.606077344002375,9.313638171641424,1.0562441537926146,0.8278647767378643,0.08032616377666701
