dataset,variant,model,n,pooled_r2,rmse,mae,fold_mean_r2,fold_sd_r2,n_folds
concrete_strength,honoured_proxy,ExtraTrees,1030,0.9202,4.7173,3.0551,0.9195,0.0129,5
concrete_strength,honoured_proxy,GradientBoosting,1030,0.9041,5.1699,3.8284,0.9014,0.0206,5
concrete_strength,sizematch_proxy,Ridge,1030,0.6066,10.4728,8.3128,0.6047,0.0221,5
concrete_strength,sizematch_proxy,RandomForest,1030,0.9077,5.073,3.4411,0.9092,0.0238,5
concrete_strength,sizematch_proxy,ExtraTrees,1030,0.9196,4.7352,3.0274,0.9209,0.0201,5
concrete_strength,sizematch_proxy,GradientBoosting,1030,0.9024,5.2172,3.7794,0.9018,0.0174,5
concrete_strength,uci_428_ingredients,Ridge,1030,0.5976,10.5919,8.3862,0.5924,0.0249,5
concrete_strength,uci_428_ingredients,RandomForest,1030,0.8648,6.1402,4.3533,0.8649,0.0193,5
concrete_strength,uci_428_ingredients,ExtraTrees,1030,0.8907,5.5204,3.6593,0.8913,0.0201,5
concrete_strength,uci_428_ingredients,GradientBoosting,1030,0.8562,6.3322,4.6424,0.8526,0.0304,5
concrete_strength,uci_428_ingredients_shuffledlabels,Ridge,1030,0.6085,10.447,8.2771,0.6087,0.0283,5
concrete_strength,uci_428_ingredients_shuffledlabels,RandomForest,1030,0.9138,4.9019,3.3503,0.9135,0.0062,5
concrete_strength,uci_428_ingredients_shuffledlabels,ExtraTrees,1030,0.9268,4.5171,2.9049,0.9269,0.0065,5
concrete_strength,uci_428_ingredients_shuffledlabels,GradientBoosting,1030,0.9048,5.1532,3.7921,0.9047,0.0064,5
concrete_strength,uci_996_allinputs,Ridge,1030,0.5992,10.5716,8.3746,0.592,0.0433,5
concrete_strength,uci_996_allinputs,RandomForest,1030,0.917,4.8115,3.3545,0.9161,0.0088,5
concrete_strength,uci_996_allinputs,ExtraTrees,1030,0.9202,4.7173,3.0551,0.9195,0.0129,5
concrete_strength,uci_996_allinputs,GradientBoosting,1030,0.9041,5.1699,3.8284,0.9014,0.0206,5
concrete_strength,uci_996_allinputs_shuffledlabels,Ridge,1030,0.6057,10.485,8.3285,0.6022,0.0292,5
concrete_strength,uci_996_allinputs_shuffledlabels,RandomForest,1030,0.9092,5.0318,3.4267,0.908,0.0114,5
concrete_strength,uci_996_allinputs_shuffledlabels,ExtraTrees,1030,0.9174,4.7979,3.0655,0.9162,0.0119,5
concrete_strength,uci_996_allinputs_shuffledlabels,GradientBoosting,1030,0.9012,5.2486,3.8134,0.8998,0.015,5
