dataset,variant,fold,n_train,n_test,train_fraction
wall_prj2430_Vmax,dummy_trainmean,4,114,28,0.8028
wall_prj2430_Vmax,honoured,0,113,29,0.7958
wall_prj2430_Vmax,honoured,1,113,29,0.7958
wall_prj2430_Vmax,honoured,2,114,28,0.8028
wall_prj2430_Vmax,honoured,3,114,28,0.8028
wall_prj2430_Vmax,honoured,4,114,28,0.8028
wall_prj2430_Vmax,sizematch_relation,0,113,29,0.7958
wall_prj2430_Vmax,sizematch_relation,1,113,29,0.7958
wall_prj2430_Vmax,sizematch_relation,2,114,28,0.8028
wall_prj2430_Vmax,sizematch_relation,3,114,28,0.8028
wall_prj2430_Vmax,sizematch_relation,4,114,28,0.8028
wall_prj2430_Vmax,honoured_proxy,0,31,111,0.2183
wall_prj2430_Vmax,honoured_proxy,1,131,11,0.9225
wall_prj2430_Vmax,honoured_proxy,2,132,10,0.9296
wall_prj2430_Vmax,honoured_proxy,3,134,8,0.9437
wall_prj2430_Vmax,honoured_proxy,4,140,2,0.9859
wall_prj2430_Vmax,sizematch_proxy,0,31,111,0.2183
wall_prj2430_Vmax,sizematch_proxy,1,131,11,0.9225
wall_prj2430_Vmax,sizematch_proxy,2,132,10,0.9296
wall_prj2430_Vmax,sizematch_proxy,3,134,8,0.9437
wall_prj2430_Vmax,sizematch_proxy,4,140,2,0.9859
wall_prj2430_Vmax,wall_combo,0,113,29,0.7958
wall_prj2430_Vmax,wall_combo,1,113,29,0.7958
wall_prj2430_Vmax,wall_combo,2,114,28,0.8028
wall_prj2430_Vmax,wall_combo,3,114,28,0.8028
wall_prj2430_Vmax,wall_combo,4,114,28,0.8028
wall_prj2430_drift,random5,0,113,29,0.7958
wall_prj2430_drift,random5,1,113,29,0.7958
wall_prj2430_drift,random5,2,114,28,0.8028
wall_prj2430_drift,random5,3,114,28,0.8028
wall_prj2430_drift,random5,4,114,28,0.8028
wall_prj2430_drift,dummy_trainmean,0,113,29,0.7958
wall_prj2430_drift,dummy_trainmean,1,113,29,0.7958
wall_prj2430_drift,dummy_trainmean,2,114,28,0.8028
wall_prj2430_drift,dummy_trainmean,3,114,28,0.8028
wall_prj2430_drift,dummy_trainmean,4,114,28,0.8028
wall_prj2430_drift,honoured,0,113,29,0.7958
wall_prj2430_drift,honoured,1,113,29,0.7958
wall_prj2430_drift,honoured,2,114,28,0.8028
wall_prj2430_drift,honoured,3,114,28,0.8028
wall_prj2430_drift,honoured,4,114,28,0.8028
wall_prj2430_drift,sizematch_relation,0,113,29,0.7958
wall_prj2430_drift,sizematch_relation,1,113,29,0.7958
wall_prj2430_drift,sizematch_relation,2,114,28,0.8028
wall_prj2430_drift,sizematch_relation,3,114,28,0.8028
wall_prj2430_drift,sizematch_relation,4,114,28,0.8028
wall_prj2430_drift,honoured_proxy,0,31,111,0.2183
wall_prj2430_drift,honoured_proxy,1,131,11,0.9225
wall_prj2430_drift,honoured_proxy,2,132,10,0.9296
wall_prj2430_drift,honoured_proxy,3,134,8,0.9437
wall_prj2430_drift,honoured_proxy,4,140,2,0.9859
wall_prj2430_drift,sizematch_proxy,0,31,111,0.2183
wall_prj2430_drift,sizematch_proxy,1,131,11,0.9225
wall_prj2430_drift,sizematch_proxy,2,132,10,0.9296
wall_prj2430_drift,sizematch_proxy,3,134,8,0.9437
wall_prj2430_drift,sizematch_proxy,4,140,2,0.9859
wall_prj2430_drift,wall_combo,0,113,29,0.7958
wall_prj2430_drift,wall_combo,1,113,29,0.7958
wall_prj2430_drift,wall_combo,2,114,28,0.8028
wall_prj2430_drift,wall_combo,3,114,28,0.8028
wall_prj2430_drift,wall_combo,4,114,28,0.8028
coupling_beams_prj3053,random5,0,48,12,0.8
coupling_beams_prj3053,random5,1,48,12,0.8
coupling_beams_prj3053,random5,2,48,12,0.8
coupling_beams_prj3053,random5,3,48,12,0.8
coupling_beams_prj3053,random5,4,48,12,0.8
coupling_beams_prj3053,dummy_trainmean,0,48,12,0.8
coupling_beams_prj3053,dummy_trainmean,1,48,12,0.8
coupling_beams_prj3053,dummy_trainmean,2,48,12,0.8
coupling_beams_prj3053,dummy_trainmean,3,48,12,0.8
coupling_beams_prj3053,dummy_trainmean,4,48,12,0.8
coupling_beams_prj3053,honoured,0,48,12,0.8
coupling_beams_prj3053,honoured,1,48,12,0.8
coupling_beams_prj3053,honoured,2,48,12,0.8
coupling_beams_prj3053,honoured,3,48,12,0.8
coupling_beams_prj3053,honoured,4,48,12,0.8
coupling_beams_prj3053,sizematch_relation,0,48,12,0.8
coupling_beams_prj3053,sizematch_relation,1,48,12,0.8
coupling_beams_prj3053,sizematch_relation,2,48,12,0.8
coupling_beams_prj3053,sizematch_relation,3,48,12,0.8
coupling_beams_prj3053,sizematch_relation,4,48,12,0.8
concrete_strength,random5,0,824,206,0.8
concrete_strength,random5,1,824,206,0.8
concrete_strength,random5,2,824,206,0.8
concrete_strength,random5,3,824,206,0.8
concrete_strength,random5,4,824,206,0.8
concrete_strength,dummy_trainmean,0,824,206,0.8
concrete_strength,dummy_trainmean,1,824,206,0.8
concrete_strength,dummy_trainmean,2,824,206,0.8
concrete_strength,dummy_trainmean,3,824,206,0.8
concrete_strength,dummy_trainmean,4,824,206,0.8
concrete_strength,honoured_proxy,0,824,206,0.8
concrete_strength,honoured_proxy,1,824,206,0.8
concrete_strength,honoured_proxy,2,824,206,0.8
concrete_strength,honoured_proxy,3,824,206,0.8
concrete_strength,honoured_proxy,4,824,206,0.8
concrete_strength,sizematch_proxy,0,824,206,0.8
concrete_strength,sizematch_proxy,1,824,206,0.8
concrete_strength,sizematch_proxy,2,824,206,0.8
concrete_strength,sizematch_proxy,3,824,206,0.8
concrete_strength,sizematch_proxy,4,824,206,0.8
concrete_strength,uci_428_ingredients,0,824,206,0.8
concrete_strength,uci_428_ingredients,1,824,206,0.8
concrete_strength,uci_428_ingredients,2,824,206,0.8
concrete_strength,uci_428_ingredients,3,824,206,0.8
concrete_strength,uci_428_ingredients,4,824,206,0.8
concrete_strength,uci_428_ingredients_shuffledlabels,0,824,206,0.8
concrete_strength,uci_428_ingredients_shuffledlabels,1,824,206,0.8
concrete_strength,uci_428_ingredients_shuffledlabels,2,824,206,0.8
concrete_strength,uci_428_ingredients_shuffledlabels,3,824,206,0.8
concrete_strength,uci_428_ingredients_shuffledlabels,4,824,206,0.8
concrete_strength,uci_996_allinputs,0,824,206,0.8
concrete_strength,uci_996_allinputs,1,824,206,0.8
concrete_strength,uci_996_allinputs,2,824,206,0.8
concrete_strength,uci_996_allinputs,3,824,206,0.8
concrete_strength,uci_996_allinputs,4,824,206,0.8
concrete_strength,uci_996_allinputs_shuffledlabels,0,824,206,0.8
concrete_strength,uci_996_allinputs_shuffledlabels,1,824,206,0.8
concrete_strength,uci_996_allinputs_shuffledlabels,2,824,206,0.8
concrete_strength,uci_996_allinputs_shuffledlabels,3,824,206,0.8
concrete_strength,uci_996_allinputs_shuffledlabels,4,824,206,0.8
