module,descriptor,model,metric_type,group,group_n,feature_mean_smd,feature_max_smd,n_features_used,target_shift_smd,target_variance_ratio,class_majority_share,class_entropy,random_group_loss,grouped_group_loss,paired_loss_gap
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,regression,310.0|0.0|0.0|192.0|0.0|971.0|850.6,1,,,0,1.554959,,,,0.278063,0.287040,0.008977
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,regression,485.0|0.0|0.0|146.0|0.0|1120.0|800.0,1,,,0,2.167257,,,,0.585267,0.568423,-0.016844
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,regression,374.0|189.2|0.0|170.1|10.1|926.1|756.7,5,,,0,1.093594,0.631449,,,0.221994,0.214152,-0.007842
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,regression,313.3|262.2|0.0|175.5|8.6|1046.9|611.8,5,,,0,1.008159,0.954586,,,0.290022,0.289661,-0.000361
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,regression,425.0|106.3|0.0|153.5|16.5|852.1|887.1,15,,,0,1.133518,0.557284,,,0.195802,0.190866,-0.004936
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,regression,425.0|106.3|0.0|151.4|18.6|936.0|803.7,5,,,0,1.171896,0.627506,,,0.210782,0.204065,-0.006717
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,regression,375.0|93.8|0.0|126.6|23.4|852.1|992.6,5,,,0,0.902319,0.683150,,,0.225353,0.224209,-0.001144
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,regression,475.0|118.8|0.0|181.1|8.9|852.1|781.5,5,,,0,1.553118,0.833002,,,0.307264,0.305180,-0.002084
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,regression,469.0|117.2|0.0|137.8|32.2|852.1|840.5,5,,,0,1.478549,0.601446,,,0.279985,0.278046,-0.001939
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,regression,388.6|97.1|0.0|157.9|12.1|852.1|925.7,5,,,0,0.570284,0.610822,,,0.200186,0.195826,-0.004360
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,regression,531.3|0.0|0.0|141.8|28.2|852.1|893.7,5,,,0,1.004592,0.230048,,,0.360056,0.382438,0.022383
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,regression,318.8|212.5|0.0|155.7|14.3|852.1|880.4,5,,,0,0.832561,1.355130,,,0.348817,0.334573,-0.014244
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,regression,401.8|94.7|0.0|147.4|11.4|946.8|852.1,5,,,0,1.609688,0.777731,,,0.332852,0.338033,0.005181
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,regression,362.6|189.0|0.0|164.9|11.6|944.7|755.8,20,,,0,1.608551,1.391322,,,0.460468,0.478422,0.017954
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,regression,323.7|282.8|0.0|183.8|10.3|942.7|659.9,4,,,0,1.347941,2.074545,,,0.484843,0.478907,-0.005937
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,regression,379.5|151.2|0.0|153.9|15.9|1134.3|605.0,5,,,0,0.724233,0.460615,,,0.249155,0.245729,-0.003426
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,regression,286.3|200.9|0.0|144.7|11.2|1004.6|803.7,5,,,0,1.212705,1.973274,,,0.495974,0.492256,-0.003717
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,regression,439.0|177.0|0.0|186.0|11.1|884.9|707.9,5,,,0,1.531469,0.709978,,,0.272788,0.256717,-0.016071
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,regression,389.9|189.0|0.0|145.9|22.0|944.7|755.8,5,,,0,1.889964,1.104785,,,0.324766,0.323034,-0.001732
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,regression,337.9|189.0|0.0|174.9|9.5|944.7|755.8,5,,,0,0.694123,1.142209,,,0.302010,0.304390,0.002381
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,regression,222.36|0.0|96.67|189.29|4.46|967.08|870.32,5,,,0,0.577613,0.393317,,,0.151580,0.149613,-0.001967
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,regression,233.81|0.0|94.58|197.89|4.567|947.04|852.16,5,,,0,0.740023,0.280879,,,0.100868,0.099420,-0.001447
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,regression,194.68|0.0|100.52|165.62|7.48|1006.4|905.9,5,,,0,0.536804,0.333157,,,0.112774,0.105759,-0.007014
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,regression,190.68|0.0|125.4|162.14|7.77|1090.0|804.01,5,,,0,0.489275,0.384263,,,0.142092,0.136628,-0.005464
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,regression,212.07|0.0|121.62|180.31|5.69|1057.6|779.32,5,,,0,0.565171,0.412869,,,0.145713,0.142228,-0.003485
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,regression,229.97|0.0|118.31|195.47|4.63|1029.4|758.59,5,,,0,0.693075,0.354048,,,0.118377,0.122461,0.004085
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,regression,190.34|0.0|125.18|161.85|9.88|1088.1|802.59,5,,,0,0.475257,0.570100,,,0.176934,0.177022,0.000088
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,regression,166.09|0.0|163.27|176.46|4.49|1058.6|780.09,5,,,0,0.711406,0.264753,,,0.108478,0.102664,-0.005814
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,regression,167.95|42.08|163.83|121.75|5.72|1058.7|780.11,5,,,0,0.688015,0.547934,,,0.413371,0.460966,0.047595
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,regression,213.72|98.05|24.51|181.71|6.86|1065.8|785.38,5,,,0,0.236673,0.821424,,,0.378379,0.392043,0.013665
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,regression,213.76|98.06|24.52|181.74|6.65|1066.0|785.52,5,,,0,0.129121,1.038808,,,0.350062,0.353359,0.003298
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,regression,229.68|0.0|118.16|195.23|6.13|1028.1|757.63,5,,,0,0.561439,0.378941,,,0.119525,0.119342,-0.000183
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,regression,238.05|0.0|94.11|186.66|7.0|949.91|847.01,5,,,0,0.232721,0.354853,,,0.183669,0.180698,-0.002971
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,regression,250.0|0.0|95.69|187.42|5.53|956.86|861.17,5,,,0,0.366431,0.455537,,,0.168902,0.167366,-0.001536
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,regression,212.52|0.0|100.37|159.32|8.71|1007.8|903.59,5,,,0,0.266232,0.537848,,,0.187465,0.181610,-0.005855
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,regression,212.57|0.0|100.39|159.35|10.37|1003.8|903.79,5,,,0,0.130448,0.723547,,,0.259059,0.252049,-0.007011
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,regression,212.0|0.0|124.78|159.0|7.84|1085.4|799.54,5,,,0,0.038265,0.464928,,,0.218145,0.222282,0.004137
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,regression,231.75|0.0|121.62|173.96|6.72|1056.4|778.45,5,,,0,0.175820,0.541937,,,0.198998,0.194083,-0.004915
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,regression,251.37|0.0|118.27|188.45|5.75|1028.4|757.73,5,,,0,0.261421,0.344304,,,0.150325,0.146934,-0.003391
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,regression,251.37|0.0|118.27|188.45|6.35|1028.4|757.73,5,,,0,0.337234,0.508329,,,0.176032,0.177481,0.001449
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,regression,181.38|0.0|167.01|169.59|7.56|1055.6|777.8,5,,,0,0.422918,0.539593,,,0.164272,0.168674,0.004402
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,regression,182.04|45.21|121.97|170.21|8.19|1059.4|780.65,5,,,0,0.322801,1.001175,,,0.283035,0.279088,-0.003947
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,regression,168.88|42.22|124.25|158.33|10.83|1080.8|796.15,5,,,0,0.358054,0.865781,,,0.234469,0.236182,0.001714
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,regression,290.35|0.0|96.18|168.08|9.41|961.18|865.0,5,,,0,0.082807,0.383193,,,0.129031,0.128941,-0.000090
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,regression,277.05|0.0|97.39|160.6|11.83|973.9|875.61,5,,,0,0.491983,0.575171,,,0.295381,0.291069,-0.004312
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,regression,295.71|0.0|95.64|171.54|8.87|955.14|859.2,5,,,0,0.238083,0.477358,,,0.200433,0.191128,-0.009305
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,regression,251.81|0.0|99.94|146.14|12.35|1006.0|899.76,5,,,0,0.015153,0.346911,,,0.126922,0.119314,-0.007608
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,regression,249.1|0.0|98.75|158.11|12.8|987.76|889.01,5,,,0,0.133683,0.661594,,,0.202930,0.206096,0.003166
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,regression,252.31|0.0|98.75|146.25|14.17|987.76|889.01,5,,,0,0.629923,0.843354,,,0.362504,0.355395,-0.007109
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,regression,246.83|0.0|125.08|143.3|11.99|1086.8|800.89,5,,,0,0.792830,1.022580,,,0.402511,0.388969,-0.013543
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,regression,275.07|0.0|121.35|159.48|9.9|1053.6|777.5,5,,,0,0.604707,0.761327,,,0.321768,0.321570,-0.000198
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,regression,297.16|0.0|117.54|174.8|9.52|1022.8|753.45,5,,,0,0.432095,0.688317,,,0.283741,0.276367,-0.007374
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,regression,213.74|0.0|174.74|154.79|10.16|1053.5|776.35,5,,,0,0.109267,0.589678,,,0.195195,0.189444,-0.005751
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,regression,213.5|0.0|174.24|154.61|11.66|1052.3|775.48,5,,,0,0.344753,0.965591,,,0.307842,0.300096,-0.007746
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,regression,277.19|97.82|24.46|160.7|11.19|1061.7|782.46,5,,,0,1.154726,0.904740,,,0.464491,0.465229,0.000738
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,regression,218.23|54.64|123.78|140.75|11.91|1075.7|792.67,5,,,0,0.785779,0.949446,,,0.343233,0.346261,0.003028
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,regression,214.9|53.8|121.89|155.63|9.61|1014.3|780.58,5,,,0,0.485098,0.922765,,,0.356260,0.355927,-0.000333
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,regression,218.85|0.0|124.13|158.49|11.33|1078.7|794.91,5,,,0,0.288544,0.483856,,,0.155934,0.160254,0.004320
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,regression,376.0|0.0|0.0|214.6|0.0|1003.5|762.36,5,,,0,0.311106,0.374651,,,0.161874,0.157632,-0.004242
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,regression,500.0|0.0|0.0|140.0|4.0|966.0|853.0,1,,,0,1.902447,,,,0.363349,0.359834,-0.003515
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,regression,475.0|0.0|59.0|142.0|1.9|1098.0|641.0,1,,,0,1.282766,,,,0.107889,0.106201,-0.001688
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,regression,315.0|137.0|0.0|145.0|5.9|1130.0|745.0,1,,,0,2.752236,,,,0.963003,0.974654,0.011651
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,regression,505.0|0.0|60.0|195.0|0.0|1030.0|630.0,1,,,0,1.689690,,,,0.471139,0.466117,-0.005022
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,regression,451.0|0.0|0.0|165.0|11.25|1030.0|745.0,1,,,0,2.575420,,,,0.891422,0.919284,0.027862
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,regression,516.0|0.0|0.0|162.0|8.2|801.0|802.0,1,,,0,0.332589,,,,0.270031,0.276657,0.006625
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,regression,520.0|0.0|0.0|170.0|5.2|855.0|855.0,1,,,0,1.465778,,,,0.249805,0.264691,0.014886
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,regression,528.0|0.0|0.0|185.0|6.86|920.0|720.0,1,,,0,1.259218,,,,0.231195,0.233566,0.002371
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,regression,520.0|0.0|0.0|175.0|5.2|870.0|805.0,1,,,0,0.910957,,,,0.032003,0.043624,0.011621
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,regression,385.0|0.0|136.0|158.0|20.0|903.0|768.0,1,,,0,1.182378,,,,0.110440,0.102128,-0.008312
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,regression,500.1|0.0|0.0|200.0|3.0|1124.4|613.2,1,,,0,0.498250,,,,0.006265,0.002537,-0.003728
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,regression,450.1|50.0|0.0|200.0|3.0|1124.4|613.2,1,,,0,0.213197,,,,0.069475,0.091388,0.021913
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,regression,397.0|17.2|158.0|167.0|20.8|967.0|633.0,1,,,0,1.188161,,,,0.025388,0.008959,-0.016429
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,regression,333.0|17.5|163.0|167.0|17.9|996.0|652.0,1,,,0,0.686633,,,,0.010364,0.020138,0.009774
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,regression,334.0|17.6|158.0|189.0|15.3|967.0|633.0,1,,,0,0.509817,,,,0.044514,0.078243,0.033729
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,regression,405.0|0.0|0.0|175.0|0.0|1120.0|695.0,1,,,0,0.987798,,,,0.446007,0.443466,-0.002541
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,regression,200.0|200.0|0.0|190.0|0.0|1145.0|660.0,1,,,0,0.804785,,,,0.549941,0.533681,-0.016260
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,regression,516.0|0.0|0.0|162.0|8.26|801.0|802.0,1,,,0,0.332589,,,,0.275957,0.257315,-0.018642
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,regression,145.0|116.0|119.0|184.0|5.7|833.0|880.0,1,,,0,0.399048,,,,0.061547,0.080262,0.018715
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,regression,160.0|128.0|122.0|182.0|6.4|824.0|879.0,1,,,0,0.214436,,,,0.253782,0.247448,-0.006334
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,regression,234.0|156.0|0.0|189.0|5.85|981.0|760.0,1,,,0,0.208652,,,,0.247954,0.251762,0.003808
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,regression,250.0|180.0|95.0|159.0|9.45|860.0|800.0,1,,,0,1.920211,,,,0.572983,0.579145,0.006162
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,regression,475.0|0.0|0.0|162.0|9.5|1044.0|662.0,1,,,0,1.360433,,,,0.293240,0.279934,-0.013305
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,regression,285.0|190.0|0.0|163.0|7.6|1031.0|685.0,1,,,0,1.064225,,,,0.269458,0.268230,-0.001229
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,regression,356.0|119.0|0.0|160.0|9.03|1061.0|657.0,1,,,0,1.388938,,,,0.356558,0.370319,0.013760
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,regression,275.0|180.0|120.0|162.0|10.35|830.0|765.0,1,,,0,2.421740,,,,0.712359,0.701890,-0.010469
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,regression,500.0|0.0|0.0|151.0|9.0|1033.0|655.0,1,,,0,2.038364,,,,0.532427,0.466110,-0.066317
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,regression,165.0|0.02|143.57|163.81|0.0|1005.6|900.9,5,,,0,0.566581,0.421763,,,0.172881,0.159174,-0.013707
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,regression,165.0|128.5|132.1|175.06|8.08|1005.8|746.6,5,,,0,0.343425,0.818384,,,0.304933,0.315905,0.010972
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,regression,178.03|129.8|118.6|179.94|3.57|1007.3|746.8,5,,,0,0.163846,0.507748,,,0.227425,0.239309,0.011885
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,regression,167.35|129.9|128.62|175.46|7.79|1006.3|746.6,5,,,0,0.171394,0.905000,,,0.279799,0.282298,0.002499
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,regression,172.38|13.61|172.37|156.76|4.14|1006.3|856.4,5,,,0,0.250555,0.150870,,,0.082647,0.077375,-0.005272
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,regression,173.54|50.05|173.53|164.77|6.47|1006.2|793.5,5,,,0,0.301123,0.700036,,,0.265994,0.271853,0.005859
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,regression,167.0|75.4|167.0|164.03|7.91|1007.3|770.1,5,,,0,0.252848,0.998626,,,0.309308,0.309303,-0.000005
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,regression,173.81|93.37|159.9|172.34|9.73|1007.2|746.6,5,,,0,0.048302,0.752941,,,0.233548,0.232237,-0.001311
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,regression,190.34|0.0|125.18|166.61|9.88|1079.0|798.9,5,,,0,0.685693,0.271009,,,0.133013,0.133510,0.000497
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,regression,250.0|0.0|95.69|191.84|5.33|948.9|857.2,5,,,0,0.456179,0.627149,,,0.192559,0.191037,-0.001522
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,regression,213.5|0.0|174.24|159.21|11.66|1043.6|771.9,5,,,0,0.180021,0.905700,,,0.305073,0.299792,-0.005281
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,regression,194.68|0.0|100.52|170.17|7.48|998.0|901.8,5,,,0,0.212897,0.679746,,,0.277412,0.284013,0.006601
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,regression,251.37|0.0|118.27|192.94|5.75|1043.6|754.3,5,,,0,0.405333,0.541740,,,0.211441,0.208819,-0.002623
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,regression,446.0|24.0|79.0|162.0|11.61|967.0|712.0,4,,,0,0.934338,0.457416,,,0.174843,0.167110,-0.007733
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,regression,446.0|24.0|79.0|162.0|11.64|967.0|712.0,8,,,0,0.346773,0.572076,,,0.329176,0.331291,0.002115
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,regression,446.0|24.0|79.0|162.0|10.3|967.0|712.0,2,,,0,1.095034,0.003408,,,0.035590,0.023076,-0.012513
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,regression,387.0|20.0|94.0|157.0|14.32|938.0|845.0,4,,,0,0.343919,0.798921,,,0.276990,0.291176,0.014187
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,regression,387.0|20.0|94.0|157.0|13.93|938.0|845.0,4,,,0,0.342366,0.409601,,,0.254246,0.257797,0.003551
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,regression,387.0|20.0|94.0|157.0|11.61|938.0|845.0,4,,,0,0.620587,0.458511,,,0.214098,0.208733,-0.005366
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,regression,355.0|19.0|97.0|145.0|13.13|967.0|871.0,1,,,0,0.492053,,,,0.162123,0.176123,0.013999
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,regression,355.0|19.0|97.0|145.0|12.25|967.0|871.0,1,,,0,1.176594,,,,0.157012,0.158290,0.001278
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,regression,491.0|26.0|123.0|210.0|3.93|882.0|699.0,4,,,0,0.465244,0.984517,,,0.345192,0.332966,-0.012226
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,regression,491.0|26.0|123.0|201.0|3.93|822.0|699.0,4,,,0,0.660585,0.868232,,,0.312048,0.307460,-0.004589
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,regression,424.0|22.0|132.0|178.0|8.48|822.0|750.0,3,,,0,1.186710,0.752669,,,0.317253,0.309074,-0.008179
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,regression,424.0|22.0|132.0|178.0|8.48|882.0|750.0,1,,,0,0.228075,,,,0.476215,0.468712,-0.007503
