module,descriptor,model,n_samples,n_groups,scale_mean_abs_y,group_balanced_random_nmae,group_balanced_grouped_nmae,delta_group_balanced_nmae,worst_group_grouped_nmae,cvar10_grouped_nmae,cvar20_grouped_nmae,cvar20_delta_nmae,group_balanced_random_overprediction,group_balanced_grouped_overprediction,cvar20_grouped_p90_abs_error
10-5281-zenodo-8062007,10-5281-zenodo-8062007,Random Forest,804,54,2.606567,0.042347,0.123327,0.080980,0.418432,0.320075,0.265218,0.231596,0.448877,0.508336,0.349327
10-5281-zenodo-8062007,10-5281-zenodo-8062007,Gradient Boosting,804,54,2.606567,0.045688,0.108436,0.062747,0.290684,0.246854,0.222069,0.187420,0.514161,0.482590,0.291158
designsafe_prj2430_wall,PRJ-2430 RC wall peak lateral strength|Vmax,Ridge,142,28,118.897522,0.484773,1.116167,0.631394,4.518373,3.720634,2.704157,2.077807,0.470971,0.450733,3.654906
designsafe_prj2430_wall,PRJ-2430 RC wall peak lateral strength|Vmax,Random Forest,142,28,118.897522,0.326569,0.589031,0.262462,2.287933,1.641734,1.271689,0.701014,0.619696,0.526619,1.978175
designsafe_prj2430_wall,PRJ-2430 RC wall peak lateral strength|Vmax,Gradient Boosting,142,28,118.897522,0.350177,0.617414,0.267237,2.248509,1.686714,1.312260,0.838301,0.598661,0.546141,1.946842
designsafe_prj2430_wall,PRJ-2430 RC wall drift capacity|driftCap,Ridge,142,28,2.168476,0.472243,0.963770,0.491527,3.054795,2.624436,2.211911,1.815457,0.480884,0.496268,2.517334
designsafe_prj2430_wall,PRJ-2430 RC wall drift capacity|driftCap,Random Forest,142,28,2.168476,0.341255,0.451640,0.110385,1.254900,1.101084,0.938977,0.468027,0.535310,0.524919,1.377274
designsafe_prj2430_wall,PRJ-2430 RC wall drift capacity|driftCap,Gradient Boosting,142,28,2.168476,0.381935,0.504221,0.122286,1.385905,1.159416,1.038468,0.614240,0.533269,0.525314,1.467712
designsafe_prj3053_coupling_beams,PRJ-3053 coupling beam peak shear|V_m_avg_kips,Ridge,60,21,169.733333,0.230654,0.239789,0.009135,1.018615,0.637166,0.504248,0.188206,0.576304,0.562207,0.699823
designsafe_prj3053_coupling_beams,PRJ-3053 coupling beam peak shear|V_m_avg_kips,Random Forest,60,21,169.733333,0.228414,0.206030,-0.022385,0.390689,0.363074,0.330717,0.088229,0.485488,0.544444,0.475952
designsafe_prj3053_coupling_beams,PRJ-3053 coupling beam peak shear|V_m_avg_kips,Gradient Boosting,60,21,169.733333,0.196999,0.202478,0.005479,0.456278,0.423235,0.384805,0.166424,0.463379,0.613492,0.566247
designsafe_prj3053_coupling_beams,PRJ-3053 coupling beam normalized shear|v_m_normalized,Ridge,60,21,11.666667,0.149317,0.165678,0.016361,0.341673,0.300299,0.273831,0.114495,0.502494,0.572071,0.336512
designsafe_prj3053_coupling_beams,PRJ-3053 coupling beam normalized shear|v_m_normalized,Random Forest,60,21,11.666667,0.151859,0.185200,0.033341,0.687645,0.420875,0.354327,0.179510,0.473696,0.445389,0.589274
designsafe_prj3053_coupling_beams,PRJ-3053 coupling beam normalized shear|v_m_normalized,Gradient Boosting,60,21,11.666667,0.149987,0.168367,0.018380,0.686978,0.420245,0.355157,0.239979,0.656500,0.476342,0.546553
designsafe_prj3053_coupling_beams,PRJ-3053 coupling beam chord-rotation capacity|CR_capacity_average,Ridge,60,21,5.972500,0.216924,0.257505,0.040581,0.693737,0.612362,0.494142,0.235770,0.524528,0.566780,0.572551
designsafe_prj3053_coupling_beams,PRJ-3053 coupling beam chord-rotation capacity|CR_capacity_average,Random Forest,60,21,5.972500,0.176146,0.211714,0.035568,0.425265,0.385552,0.362450,0.170966,0.539720,0.560771,0.435367
designsafe_prj3053_coupling_beams,PRJ-3053 coupling beam chord-rotation capacity|CR_capacity_average,Gradient Boosting,60,21,5.972500,0.169053,0.208640,0.039587,0.461416,0.442696,0.400124,0.229246,0.422865,0.651096,0.454833
designsafe_rc_columns,DesignSafe circular RC columns,Ridge,172,43,63.232733,0.406856,0.417758,0.010902,2.806915,1.385601,1.033506,0.339565,0.497234,0.508170,1.403561
designsafe_rc_columns,DesignSafe circular RC columns,Random Forest,172,43,63.232733,0.343222,0.457662,0.114441,6.173815,2.002001,1.352543,0.509678,0.608094,0.551576,1.846226
designsafe_rc_columns,DesignSafe circular RC columns,Gradient Boosting,172,43,63.232733,0.330538,0.463452,0.132914,6.586536,2.095033,1.429308,0.575648,0.539288,0.549208,1.837344
designsafe_rc_columns,DesignSafe rectangular RC columns,Ridge,325,62,48.534554,0.224673,0.260167,0.035494,1.098625,0.816686,0.637187,0.178263,0.506261,0.459107,0.848808
designsafe_rc_columns,DesignSafe rectangular RC columns,Random Forest,325,62,48.534554,0.187752,0.318644,0.130892,1.879661,0.945946,0.758902,0.400672,0.539299,0.525037,0.985630
designsafe_rc_columns,DesignSafe rectangular RC columns,Gradient Boosting,325,62,48.534554,0.146353,0.251584,0.105232,1.635157,0.839960,0.632948,0.428527,0.479951,0.572410,0.829872
designsafe_rc_columns,DesignSafe RC columns combined,Ridge,497,99,53.621247,0.319045,0.358912,0.039868,3.926242,1.187240,0.875677,0.210054,0.504622,0.467963,1.248267
designsafe_rc_columns,DesignSafe RC columns combined,Random Forest,497,99,53.621247,0.270053,0.367310,0.097257,8.154131,1.641608,1.088570,0.414025,0.574040,0.584933,1.515227
designsafe_rc_columns,DesignSafe RC columns combined,Gradient Boosting,497,99,53.621247,0.251772,0.348228,0.096456,8.007593,1.714600,1.120408,0.445128,0.552716,0.564071,1.514109
mendeley_beam_column_joint,Mendeley exterior RC beam-column joints|shear_strength_regression,Ridge,203,33,419.220394,0.269761,0.357295,0.087534,1.073579,0.913110,0.775307,0.239800,0.483243,0.468182,0.956353
mendeley_beam_column_joint,Mendeley exterior RC beam-column joints|shear_strength_regression,Random Forest,203,33,419.220394,0.131236,0.319034,0.187798,1.446875,0.942932,0.758151,0.538643,0.489355,0.515411,0.969677
mendeley_beam_column_joint,Mendeley exterior RC beam-column joints|shear_strength_regression,Gradient Boosting,203,33,419.220394,0.134518,0.330146,0.195628,1.118832,0.878345,0.740822,0.529802,0.529591,0.464543,0.963944
mendeley_beam_column_joint,Mendeley cyclic beam-column joint shear|joint_shear_strength_regression,Ridge,98,18,6.730306,0.236809,0.416544,0.179734,0.954779,0.890147,0.773040,0.416870,0.533768,0.652778,1.008083
mendeley_beam_column_joint,Mendeley cyclic beam-column joint shear|joint_shear_strength_regression,Random Forest,98,18,6.730306,0.191856,0.446102,0.254246,1.095055,0.997547,0.881978,0.481546,0.538482,0.694571,1.096913
mendeley_beam_column_joint,Mendeley cyclic beam-column joint shear|joint_shear_strength_regression,Gradient Boosting,98,18,6.730306,0.133333,0.455686,0.322353,1.543898,1.304538,0.944145,0.776496,0.547559,0.689520,1.155381
