module,task,metric_kind,proxy_corruption_fraction,replicate,random_score,grouped_score_under_proxy,true_grouped_score,gap_under_proxy,true_gap,gap_retention,proxy_n_groups
SFRC shear,SFRC shear capacity,regression,0.5,2,0.5697769647496402,0.5017837290990979,-0.18707522372772334,0.06799323565054238,0.7568521884773636,0.08983687526534247,118
SFRC shear,SFRC shear capacity,regression,0.5,3,0.5697769647496402,0.5626395524797009,-0.18707522372772334,0.007137412269939358,0.7568521884773636,0.009430391268734276,118
SFRC shear,SFRC shear capacity,regression,0.5,4,0.5697769647496402,0.4653659522132627,-0.18707522372772334,0.10441101253637752,0.7568521884773636,0.137954298244723,118
SFRC shear,SFRC shear capacity,regression,0.5,5,0.5697769647496402,0.5131938864498407,-0.18707522372772334,0.05658307829979958,0.7568521884773636,0.07476106849031317,118
SFRC shear,SFRC shear capacity,regression,0.75,1,0.5697769647496402,0.5002594436593604,-0.18707522372772334,0.06951752109027987,0.7568521884773636,0.09185085562101013,118
SFRC shear,SFRC shear capacity,regression,0.75,2,0.5697769647496402,0.5676531521772377,-0.18707522372772334,0.0021238125724025725,0.7568521884773636,0.002806112745310629,118
SFRC shear,SFRC shear capacity,regression,0.75,3,0.5697769647496402,0.5755000199849349,-0.18707522372772334,-0.005723055235294705,0.7568521884773636,-0.007561655132170994,118
SFRC shear,SFRC shear capacity,regression,0.75,4,0.5697769647496402,0.5466401023712234,-0.18707522372772334,0.023136862378416834,0.7568521884773636,0.030569855951614027,118
SFRC shear,SFRC shear capacity,regression,0.75,5,0.5697769647496402,0.6137220570308981,-0.18707522372772334,-0.04394509228125787,0.7568521884773636,-0.0580629784128215,118
SFRC shear,SFRC shear capacity,regression,1.0,1,0.5697769647496402,0.515110611784388,-0.18707522372772334,0.05466635296525224,0.7568521884773636,0.07222857223314647,118
SFRC shear,SFRC shear capacity,regression,1.0,2,0.5697769647496402,0.6156086650445284,-0.18707522372772334,-0.045831700294888145,0.7568521884773636,-0.060555681799761236,118
SFRC shear,SFRC shear capacity,regression,1.0,3,0.5697769647496402,0.5883857819325581,-0.18707522372772334,-0.018608817182917847,0.7568521884773636,-0.024587122117404582,118
SFRC shear,SFRC shear capacity,regression,1.0,4,0.5697769647496402,0.6148130362105211,-0.18707522372772334,-0.045036071460880844,0.7568521884773636,-0.059504447693392394,118
SFRC shear,SFRC shear capacity,regression,1.0,5,0.5697769647496402,0.6078491824659744,-0.18707522372772334,-0.03807221771633418,0.7568521884773636,-0.05030337270072235,118
Mangalathu shear-wall,Shear-wall failure classification,classification,0.0,1,0.8295165394402035,0.5038167938931297,0.5038167938931297,0.3256997455470738,0.3256997455470738,1.0,75
Mangalathu shear-wall,Shear-wall failure classification,classification,0.1,1,0.8295165394402035,0.6513994910941476,0.5038167938931297,0.1781170483460559,0.3256997455470738,0.5468749999999998,75
Mangalathu shear-wall,Shear-wall failure classification,classification,0.1,2,0.8295165394402035,0.6564885496183206,0.5038167938931297,0.17302798982188294,0.3256997455470738,0.5312499999999999,75
Mangalathu shear-wall,Shear-wall failure classification,classification,0.1,3,0.8295165394402035,0.6972010178117048,0.5038167938931297,0.1323155216284987,0.3256997455470738,0.40624999999999983,75
Mangalathu shear-wall,Shear-wall failure classification,classification,0.1,4,0.8295165394402035,0.6564885496183206,0.5038167938931297,0.17302798982188294,0.3256997455470738,0.5312499999999999,75
Mangalathu shear-wall,Shear-wall failure classification,classification,0.1,5,0.8295165394402035,0.6615776081424937,0.5038167938931297,0.16793893129770987,0.3256997455470738,0.5156249999999998,75
Mangalathu shear-wall,Shear-wall failure classification,classification,0.25,1,0.8295165394402035,0.7430025445292621,0.5038167938931297,0.08651399491094147,0.3256997455470738,0.26562499999999994,75
Mangalathu shear-wall,Shear-wall failure classification,classification,0.25,2,0.8295165394402035,0.7633587786259542,0.5038167938931297,0.06615776081424929,0.3256997455470738,0.20312499999999975,75
Mangalathu shear-wall,Shear-wall failure classification,classification,0.25,3,0.8295165394402035,0.6997455470737913,0.5038167938931297,0.1297709923664122,0.3256997455470738,0.39843749999999994,75
Mangalathu shear-wall,Shear-wall failure classification,classification,0.25,4,0.8295165394402035,0.72264631043257,0.5038167938931297,0.10687022900763354,0.3256997455470738,0.32812499999999983,75
Mangalathu shear-wall,Shear-wall failure classification,classification,0.25,5,0.8295165394402035,0.7684478371501272,0.5038167938931297,0.06106870229007633,0.3256997455470738,0.18749999999999994,75
Mangalathu shear-wall,Shear-wall failure classification,classification,0.5,1,0.8295165394402035,0.8473282442748091,0.5038167938931297,-0.01781170483460559,0.3256997455470738,-0.05468749999999997,75
Mangalathu shear-wall,Shear-wall failure classification,classification,0.5,2,0.8295165394402035,0.7837150127226463,0.5038167938931297,0.04580152671755722,0.3256997455470738,0.1406249999999999,75
Mangalathu shear-wall,Shear-wall failure classification,classification,0.5,3,0.8295165394402035,0.8091603053435115,0.5038167938931297,0.020356234096692072,0.3256997455470738,0.062499999999999875,75
Mangalathu shear-wall,Shear-wall failure classification,classification,0.5,4,0.8295165394402035,0.821882951653944,0.5038167938931297,0.007633587786259555,0.3256997455470738,0.023437500000000038,75
Mangalathu shear-wall,Shear-wall failure classification,classification,0.5,5,0.8295165394402035,0.8040712468193384,0.5038167938931297,0.025445292620865145,0.3256997455470738,0.07812500000000001,75
Mangalathu shear-wall,Shear-wall failure classification,classification,0.75,1,0.8295165394402035,0.8193384223918575,0.5038167938931297,0.010178117048346036,0.3256997455470738,0.031249999999999938,75
Mangalathu shear-wall,Shear-wall failure classification,classification,0.75,2,0.8295165394402035,0.8193384223918575,0.5038167938931297,0.010178117048346036,0.3256997455470738,0.031249999999999938,75
Mangalathu shear-wall,Shear-wall failure classification,classification,0.75,3,0.8295165394402035,0.821882951653944,0.5038167938931297,0.007633587786259555,0.3256997455470738,0.023437500000000038,75
Mangalathu shear-wall,Shear-wall failure classification,classification,0.75,4,0.8295165394402035,0.8244274809160306,0.5038167938931297,0.0050890585241729624,0.3256997455470738,0.015624999999999797,75
Mangalathu shear-wall,Shear-wall failure classification,classification,0.75,5,0.8295165394402035,0.8320610687022901,0.5038167938931297,-0.0025445292620865922,0.3256997455470738,-0.00781250000000024,75
Mangalathu shear-wall,Shear-wall failure classification,classification,1.0,1,0.8295165394402035,0.8371501272264631,0.5038167938931297,-0.007633587786259555,0.3256997455470738,-0.023437500000000038,75
Mangalathu shear-wall,Shear-wall failure classification,classification,1.0,2,0.8295165394402035,0.8371501272264631,0.5038167938931297,-0.007633587786259555,0.3256997455470738,-0.023437500000000038,75
Mangalathu shear-wall,Shear-wall failure classification,classification,1.0,3,0.8295165394402035,0.8295165394402035,0.5038167938931297,0.0,0.3256997455470738,0.0,75
Mangalathu shear-wall,Shear-wall failure classification,classification,1.0,4,0.8295165394402035,0.8269720101781171,0.5038167938931297,0.0025445292620864812,0.3256997455470738,0.0078124999999998985,75
Mangalathu shear-wall,Shear-wall failure classification,classification,1.0,5,0.8295165394402035,0.8600508905852418,0.5038167938931297,-0.03053435114503822,0.3256997455470738,-0.09375000000000015,75
Stub-CFST,Stub-CFST section-family holdout,regression,0.0,1,0.8086799948923955,-0.922310101740651,-0.9223101017406514,1.7309900966330465,1.730990096633047,0.9999999999999998,3
Stub-CFST,Stub-CFST section-family holdout,regression,0.1,1,0.8086799948923955,0.46389932821667523,-0.9223101017406514,0.34478066667572027,1.730990096633047,0.19918118962457035,3
Stub-CFST,Stub-CFST section-family holdout,regression,0.1,2,0.8086799948923955,0.5028841468885281,-0.9223101017406514,0.3057958480038674,1.730990096633047,0.17665950174912706,3
Stub-CFST,Stub-CFST section-family holdout,regression,0.1,3,0.8086799948923955,0.4519921562972783,-0.9223101017406514,0.3566878385951172,1.730990096633047,0.20606001113981623,3
Stub-CFST,Stub-CFST section-family holdout,regression,0.1,4,0.8086799948923955,0.5030659676228846,-0.9223101017406514,0.3056140272695109,1.730990096633047,0.1765544631733951,3
Stub-CFST,Stub-CFST section-family holdout,regression,0.1,5,0.8086799948923955,0.4582840406159818,-0.9223101017406514,0.3503959542764137,1.730990096633047,0.20242516404800334,3
Stub-CFST,Stub-CFST section-family holdout,regression,0.25,1,0.8086799948923955,0.6305076874802866,-0.9223101017406514,0.17817230741210888,1.730990096633047,0.10293086468759831,3
Stub-CFST,Stub-CFST section-family holdout,regression,0.25,2,0.8086799948923955,0.6146806058839525,-0.9223101017406514,0.19399938900844305,1.730990096633047,0.11207423392299687,3
Stub-CFST,Stub-CFST section-family holdout,regression,0.25,3,0.8086799948923955,0.6409162847166465,-0.9223101017406514,0.16776371017574898,1.730990096633047,0.09691777584520361,3
Stub-CFST,Stub-CFST section-family holdout,regression,0.25,4,0.8086799948923955,0.6802180279670047,-0.9223101017406514,0.1284619669253908,1.730990096633047,0.0742129993552606,3
Stub-CFST,Stub-CFST section-family holdout,regression,0.25,5,0.8086799948923955,0.6715470470680993,-0.9223101017406514,0.1371329478242962,1.730990096633047,0.07922226019145565,3
Stub-CFST,Stub-CFST section-family holdout,regression,0.5,1,0.8086799948923955,0.7409110635540862,-0.9223101017406514,0.0677689313383093,1.730990096633047,0.03915038651585981,3
Stub-CFST,Stub-CFST section-family holdout,regression,0.5,2,0.8086799948923955,0.7468553449490576,-0.9223101017406514,0.06182464994333792,1.730990096633047,0.03571635104302052,3
Stub-CFST,Stub-CFST section-family holdout,regression,0.5,3,0.8086799948923955,0.7311868015484069,-0.9223101017406514,0.07749319334398863,1.730990096633047,0.044768132119716246,3
Stub-CFST,Stub-CFST section-family holdout,regression,0.5,4,0.8086799948923955,0.7491347597211286,-0.9223101017406514,0.059545235171266864,1.730990096633047,0.03439952388352102,3
Stub-CFST,Stub-CFST section-family holdout,regression,0.5,5,0.8086799948923955,0.7430751721472328,-0.9223101017406514,0.06560482274516266,1.730990096633047,0.037900172203625404,3
Stub-CFST,Stub-CFST section-family holdout,regression,0.75,1,0.8086799948923955,0.769111239241153,-0.9223101017406514,0.039568755651242515,1.730990096633047,0.022859030636979263,3
Stub-CFST,Stub-CFST section-family holdout,regression,0.75,2,0.8086799948923955,0.7736208149636554,-0.9223101017406514,0.03505917992874008,1.730990096633047,0.020253830450522956,3
Stub-CFST,Stub-CFST section-family holdout,regression,0.75,3,0.8086799948923955,0.781843711475255,-0.9223101017406514,0.026836283417140505,1.730990096633047,0.01550342978237705,3
Stub-CFST,Stub-CFST section-family holdout,regression,0.75,4,0.8086799948923955,0.7968282865706643,-0.9223101017406514,0.011851708321731214,1.730990096633047,0.006846779969905085,3
Stub-CFST,Stub-CFST section-family holdout,regression,0.75,5,0.8086799948923955,0.7696160163985051,-0.9223101017406514,0.03906397849389043,1.730990096633047,0.022567418825719377,3
Stub-CFST,Stub-CFST section-family holdout,regression,1.0,1,0.8086799948923955,0.7957902345566514,-0.9223101017406514,0.012889760335744072,1.730990096633047,0.0074464668289067485,3
Stub-CFST,Stub-CFST section-family holdout,regression,1.0,2,0.8086799948923955,0.7867896265334934,-0.9223101017406514,0.021890368358902124,1.730990096633047,0.012646154591803346,3
Stub-CFST,Stub-CFST section-family holdout,regression,1.0,3,0.8086799948923955,0.7675323811192212,-0.9223101017406514,0.04114761377317433,1.730990096633047,0.023771143378122528,3
Stub-CFST,Stub-CFST section-family holdout,regression,1.0,4,0.8086799948923955,0.7633709448809336,-0.9223101017406514,0.045309050011461904,1.730990096633047,0.026175221972438,3
