mix_group,n
307.0|0.0|0.0|193.0|0.0|968.0|812.0,5
310.0|0.0|0.0|192.0|0.0|1012.0|830.0,5
331.0|0.0|0.0|192.0|0.0|1025.0|821.0,5
349.0|0.0|0.0|192.0|0.0|1056.0|809.0,5
385.0|0.0|0.0|186.0|0.0|966.0|763.0,5
310.0|0.0|0.0|192.0|0.0|970.0|850.0,5
380.0|0.0|0.0|228.0|0.0|932.0|670.0,4
342.0|38.0|0.0|228.0|0.0|932.0|670.0,4
323.7|282.8|0.0|183.8|10.3|942.7|659.9,4
446.0|24.0|79.0|162.0|11.61|967.0|712.0,4
387.0|20.0|94.0|157.0|14.32|938.0|845.0,4
387.0|20.0|94.0|157.0|13.93|938.0|845.0,4
387.0|20.0|94.0|157.0|11.61|938.0|845.0,4
491.0|26.0|123.0|210.0|3.93|882.0|699.0,4
491.0|26.0|123.0|201.0|3.93|822.0|699.0,4
424.0|22.0|132.0|168.0|8.92|822.0|750.0,4
202.0|11.0|141.0|206.0|1.72|942.0|801.0,4
284.0|15.0|141.0|179.0|5.46|842.0|801.0,4
289.0|0.0|0.0|192.0|0.0|913.2|895.3,4
393.0|0.0|0.0|192.0|0.0|940.6|785.6,4
480.0|0.0|0.0|192.0|0.0|936.2|712.2,4
333.0|0.0|0.0|192.0|0.0|931.2|842.6,4
255.0|0.0|0.0|192.0|0.0|889.8|945.0,4
236.0|0.0|0.0|194.0|0.0|968.0|885.0,4
254.0|0.0|0.0|198.0|0.0|968.0|863.0,4
203.5|305.3|0.0|203.5|0.0|963.4|630.0,4
250.2|166.8|0.0|203.5|0.0|977.6|694.1,4
157.0|236.0|0.0|192.0|0.0|935.4|781.2,4
141.3|212.0|0.0|203.5|0.0|971.8|748.5,4
166.8|250.2|0.0|203.5|0.0|975.6|692.6,4
122.6|183.9|0.0|203.5|0.0|958.2|800.1,4
183.9|122.6|0.0|203.5|0.0|959.2|800.0,4
102.0|153.0|0.0|192.0|0.0|887.0|942.0,4
200.0|133.0|0.0|192.0|0.0|965.4|806.2,4
108.3|162.4|0.0|203.5|0.0|938.2|849.0,4
305.3|203.5|0.0|203.5|0.0|965.4|631.0,4
116.0|173.0|0.0|192.0|0.0|909.8|891.9,4
133.0|200.0|0.0|192.0|0.0|927.4|839.2,4
173.0|116.0|0.0|192.0|0.0|946.8|856.8,4
192.0|288.0|0.0|192.0|0.0|929.8|716.1,4
153.0|102.0|0.0|192.0|0.0|888.0|943.1,4
288.0|192.0|0.0|192.0|0.0|932.0|717.8,4
236.0|157.0|0.0|192.0|0.0|972.6|749.1,4
212.0|141.3|0.0|203.5|0.0|973.4|750.0,4
424.0|22.0|132.0|178.0|8.48|822.0|750.0,3
236.0|0.0|0.0|193.0|0.0|968.0|885.0,3
480.0|0.0|0.0|192.0|0.0|936.0|721.0,3
296.0|0.0|0.0|192.0|0.0|1085.0|765.0,3
302.0|0.0|0.0|203.0|0.0|974.0|817.0,3
252.0|0.0|0.0|185.0|0.0|1111.0|784.0,3
393.0|0.0|0.0|192.0|0.0|940.0|758.0,3
322.0|0.0|0.0|203.0|0.0|974.0|800.0,3
446.0|24.0|79.0|162.0|10.3|967.0|712.0,2
158.8|238.2|0.0|185.7|0.0|1040.6|734.3,2
239.6|359.4|0.0|185.7|0.0|941.6|664.3,2
238.2|158.8|0.0|185.7|0.0|1040.6|734.3,2
181.9|272.8|0.0|185.7|0.0|1012.4|714.3,2
193.5|290.2|0.0|185.7|0.0|998.2|704.3,2
255.5|170.3|0.0|185.7|0.0|1026.6|724.3,2
272.8|181.9|0.0|185.7|0.0|1012.4|714.3,2
220.8|147.2|0.0|185.7|0.0|1055.0|744.3,2
397.0|0.0|0.0|185.7|0.0|1040.6|734.3,2
382.5|0.0|0.0|185.7|0.0|1047.8|739.3,2
210.7|316.1|0.0|185.7|0.0|977.0|689.3,2
295.8|0.0|0.0|185.7|0.0|1091.4|769.3,2
203.5|135.7|0.0|185.7|0.0|1076.2|759.3,2
381.4|0.0|0.0|185.7|0.0|1104.6|784.3,2
228.0|342.1|0.0|185.7|0.0|955.8|674.3,2
316.1|210.7|0.0|185.7|0.0|977.0|689.3,2
135.7|203.5|0.0|185.7|0.0|1076.2|759.3,2
238.1|0.0|0.0|185.7|0.0|1118.8|789.3,2
339.2|0.0|0.0|185.7|0.0|1069.2|754.3,2
290.2|193.5|0.0|185.7|0.0|998.2|704.3,2
170.3|155.5|0.0|185.7|0.0|1026.6|724.3,2
186.2|124.1|0.0|185.7|0.0|1083.4|764.3,2
252.5|0.0|0.0|185.7|0.0|1111.6|784.3,2
200.0|0.0|0.0|180.0|0.0|1125.0|845.0,2
225.0|0.0|0.0|181.0|0.0|1113.0|833.0,2
325.0|0.0|0.0|184.0|0.0|1063.0|783.0,2
275.0|0.0|0.0|183.0|0.0|1088.0|808.0,2
300.0|0.0|0.0|184.0|0.0|1075.0|795.0,2
375.0|0.0|0.0|186.0|0.0|1038.0|758.0,2
400.0|0.0|0.0|187.0|0.0|1025.0|745.0,2
250.0|0.0|0.0|182.0|0.0|1100.0|820.0,2
350.0|0.0|0.0|186.0|0.0|1050.0|770.0,2
238.0|0.0|0.0|186.0|0.0|1119.0|789.0,2
296.0|0.0|0.0|186.0|0.0|1090.0|769.0,2
281.0|0.0|0.0|186.0|0.0|1104.0|774.0,2
382.0|0.0|0.0|186.0|0.0|1047.0|739.0,2
339.0|0.0|0.0|185.0|0.0|1069.0|754.0,2
295.0|0.0|0.0|185.0|0.0|1069.0|769.0,2
382.0|0.0|0.0|185.0|0.0|1047.0|739.0,2
522.0|0.0|0.0|146.0|0.0|896.0|896.0,2
540.0|0.0|0.0|162.0|2.5|1040.0|676.0,1
540.0|0.0|0.0|162.0|2.5|1055.0|676.0,1
349.0|0.0|0.0|192.0|0.0|1047.0|806.9,1
310.0|0.0|0.0|192.0|0.0|971.0|850.6,1
485.0|0.0|0.0|146.0|0.0|1120.0|800.0,1
500.0|0.0|0.0|140.0|4.0|966.0|853.0,1
475.0|0.0|59.0|142.0|1.9|1098.0|641.0,1
315.0|137.0|0.0|145.0|5.9|1130.0|745.0,1
505.0|0.0|60.0|195.0|0.0|1030.0|630.0,1
451.0|0.0|0.0|165.0|11.25|1030.0|745.0,1
516.0|0.0|0.0|162.0|8.2|801.0|802.0,1
520.0|0.0|0.0|170.0|5.2|855.0|855.0,1
528.0|0.0|0.0|185.0|6.86|920.0|720.0,1
520.0|0.0|0.0|175.0|5.2|870.0|805.0,1
385.0|0.0|136.0|158.0|20.0|903.0|768.0,1
500.1|0.0|0.0|200.0|3.0|1124.4|613.2,1
450.1|50.0|0.0|200.0|3.0|1124.4|613.2,1
397.0|17.2|158.0|167.0|20.8|967.0|633.0,1
333.0|17.5|163.0|167.0|17.9|996.0|652.0,1
334.0|17.6|158.0|189.0|15.3|967.0|633.0,1
405.0|0.0|0.0|175.0|0.0|1120.0|695.0,1
200.0|200.0|0.0|190.0|0.0|1145.0|660.0,1
516.0|0.0|0.0|162.0|8.26|801.0|802.0,1
145.0|116.0|119.0|184.0|5.7|833.0|880.0,1
160.0|128.0|122.0|182.0|6.4|824.0|879.0,1
234.0|156.0|0.0|189.0|5.85|981.0|760.0,1
250.0|180.0|95.0|159.0|9.45|860.0|800.0,1
475.0|0.0|0.0|162.0|9.5|1044.0|662.0,1
285.0|190.0|0.0|163.0|7.6|1031.0|685.0,1
356.0|119.0|0.0|160.0|9.03|1061.0|657.0,1
275.0|180.0|120.0|162.0|10.35|830.0|765.0,1
500.0|0.0|0.0|151.0|9.0|1033.0|655.0,1
355.0|19.0|97.0|145.0|13.13|967.0|871.0,1
355.0|19.0|97.0|145.0|12.25|967.0|871.0,1
424.0|22.0|132.0|178.0|8.48|882.0|750.0,1
436.0|0.0|0.0|218.0|0.0|838.4|719.7,1
297.0|0.0|0.0|186.0|0.0|1040.0|734.0,1
397.0|0.0|0.0|186.0|0.0|1040.0|734.0,1
281.0|0.0|0.0|185.0|0.0|1104.0|774.0,1
382.0|0.0|0.0|186.0|0.0|1111.0|784.0,1
238.0|0.0|0.0|185.0|0.0|1118.0|789.0,1
331.0|0.0|0.0|192.0|0.0|879.0|825.0,1
339.0|0.0|0.0|185.0|0.0|1060.0|754.0,1
252.0|0.0|0.0|186.0|0.0|1111.0|784.0,1
397.0|0.0|0.0|185.0|0.0|1040.0|734.0,1
273.0|105.0|82.0|210.0|9.0|904.0|680.0,1
162.0|190.0|148.0|179.0|19.0|838.0|741.0,1
154.0|144.0|112.0|220.0|10.0|923.0|658.0,1
147.0|115.0|89.0|202.0|9.0|860.0|829.0,1
152.0|178.0|139.0|168.0|18.0|944.0|695.0,1
310.0|143.0|111.0|168.0|22.0|914.0|651.0,1
144.0|0.0|175.0|158.0|18.0|943.0|844.0,1
304.0|140.0|0.0|214.0|6.0|895.0|722.0,1
374.0|0.0|0.0|190.0|7.0|1013.0|730.0,1
159.0|149.0|116.0|175.0|15.0|953.0|720.0,1
153.0|239.0|0.0|200.0|6.0|1002.0|684.0,1
310.0|143.0|0.0|168.0|10.0|914.0|804.0,1
305.0|0.0|100.0|196.0|10.0|959.0|705.0,1
151.0|0.0|184.0|167.0|12.0|991.0|772.0,1
142.0|167.0|130.0|174.0|11.0|883.0|785.0,1
298.0|137.0|107.0|201.0|6.0|878.0|655.0,1
321.0|164.0|0.0|190.0|5.0|870.0|774.0,1
366.0|187.0|0.0|191.0|7.0|824.0|757.0,1
280.0|129.0|100.0|172.0|9.0|825.0|805.0,1
252.0|97.0|76.0|194.0|8.0|835.0|821.0,1
165.0|0.0|150.0|182.0|12.0|1023.0|729.0,1
156.0|243.0|0.0|180.0|11.0|1022.0|698.0,1
160.0|188.0|146.0|203.0|11.0|829.0|710.0,1
298.0|0.0|107.0|186.0|6.0|879.0|815.0,1
318.0|0.0|126.0|210.0|6.0|861.0|737.0,1
287.0|121.0|94.0|188.0|9.0|904.0|696.0,1
326.0|166.0|0.0|174.0|9.0|882.0|790.0,1
356.0|0.0|142.0|193.0|11.0|801.0|778.0,1
132.0|207.0|161.0|179.0|5.0|867.0|736.0,1
322.0|149.0|0.0|186.0|8.0|951.0|709.0,1
164.0|0.0|200.0|181.0|13.0|849.0|846.0,1
314.0|0.0|113.0|170.0|10.0|925.0|783.0,1
321.0|0.0|128.0|182.0|11.0|870.0|780.0,1
140.0|164.0|128.0|237.0|6.0|869.0|656.0,1
288.0|121.0|0.0|177.0|7.0|908.0|829.0,1
298.0|0.0|107.0|210.0|11.0|880.0|744.0,1
265.0|111.0|86.0|195.0|6.0|833.0|790.0,1
160.0|250.0|0.0|168.0|12.0|1049.0|688.0,1
166.0|260.0|0.0|183.0|13.0|859.0|827.0,1
276.0|116.0|90.0|180.0|9.0|870.0|768.0,1
322.0|0.0|116.0|196.0|10.0|818.0|813.0,1
149.0|139.0|109.0|193.0|6.0|892.0|780.0,1
159.0|187.0|0.0|176.0|11.0|990.0|789.0,1
261.0|100.0|78.0|201.0|9.0|864.0|761.0,1
237.0|92.0|71.0|247.0|6.0|853.0|695.0,1
313.0|0.0|113.0|178.0|8.0|1002.0|689.0,1
155.0|183.0|0.0|193.0|9.0|1047.0|697.0,1
146.0|230.0|0.0|202.0|3.0|827.0|872.0,1
296.0|0.0|107.0|221.0|11.0|819.0|778.0,1
133.0|210.0|0.0|196.0|3.0|949.0|795.0,1
313.0|145.0|0.0|178.0|8.0|867.0|824.0,1
152.0|0.0|112.0|184.0|8.0|992.0|816.0,1
153.0|145.0|113.0|178.0|8.0|1002.0|689.0,1
140.0|133.0|103.0|200.0|7.0|916.0|753.0,1
149.0|236.0|0.0|176.0|13.0|847.0|893.0,1
300.0|0.0|120.0|212.0|10.0|878.0|728.0,1
153.0|145.0|113.0|178.0|8.0|867.0|824.0,1
148.0|0.0|137.0|158.0|16.0|1002.0|830.0,1
326.0|0.0|138.0|199.0|11.0|801.0|792.0,1
153.0|145.0|0.0|178.0|8.0|1000.0|822.0,1
262.0|111.0|86.0|195.0|5.0|895.0|733.0,1
158.0|0.0|195.0|220.0|11.0|898.0|713.0,1
151.0|0.0|185.0|167.0|16.0|1074.0|678.0,1
273.0|0.0|90.0|199.0|11.0|931.0|762.0,1
149.0|118.0|92.0|183.0|7.0|953.0|780.0,1
143.0|169.0|143.0|191.0|8.0|967.0|643.0,1
260.0|101.0|78.0|171.0|10.0|936.0|763.0,1
313.0|161.0|0.0|178.0|10.0|917.0|759.0,1
284.0|120.0|0.0|168.0|7.0|970.0|794.0,1
336.0|0.0|0.0|182.0|3.0|986.0|817.0,1
145.0|0.0|134.0|181.0|11.0|979.0|812.0,1
150.0|237.0|0.0|174.0|12.0|1069.0|675.0,1
144.0|170.0|133.0|192.0|8.0|814.0|805.0,1
331.0|170.0|0.0|195.0|8.0|811.0|802.0,1
155.0|0.0|143.0|193.0|9.0|1047.0|697.0,1
155.0|183.0|0.0|193.0|9.0|877.0|868.0,1
135.0|0.0|166.0|180.0|10.0|961.0|805.0,1
266.0|112.0|87.0|178.0|10.0|910.0|745.0,1
314.0|145.0|113.0|179.0|8.0|869.0|690.0,1
313.0|145.0|0.0|127.0|8.0|1000.0|822.0,1
146.0|173.0|0.0|182.0|3.0|986.0|817.0,1
144.0|136.0|106.0|178.0|7.0|941.0|774.0,1
148.0|0.0|182.0|181.0|15.0|839.0|884.0,1
277.0|117.0|91.0|191.0|7.0|946.0|666.0,1
298.0|0.0|107.0|164.0|13.0|953.0|784.0,1
313.0|145.0|0.0|178.0|8.0|1002.0|689.0,1
155.0|184.0|143.0|194.0|9.0|880.0|699.0,1
289.0|134.0|0.0|195.0|6.0|924.0|760.0,1
148.0|175.0|0.0|171.0|2.0|1000.0|828.0,1
145.0|0.0|179.0|202.0|8.0|824.0|869.0,1
313.0|0.0|0.0|178.0|8.0|1000.0|822.0,1
136.0|162.0|126.0|172.0|10.0|923.0|764.0,1
155.0|0.0|143.0|193.0|9.0|877.0|868.0,1
255.0|99.0|77.0|189.0|6.0|919.0|749.0,1
162.0|207.0|172.0|216.0|10.0|822.0|638.0,1
136.0|196.0|98.0|199.0|6.0|847.0|783.0,1
164.0|163.0|128.0|197.0|8.0|961.0|641.0,1
162.0|214.0|164.0|202.0|10.0|820.0|680.0,1
157.0|214.0|152.0|200.0|9.0|819.0|704.0,1
149.0|153.0|194.0|192.0|8.0|935.0|623.0,1
135.0|105.0|193.0|196.0|6.0|965.0|643.0,1
159.0|209.0|161.0|201.0|7.0|848.0|669.0,1
144.0|15.0|195.0|176.0|6.0|1021.0|709.0,1
154.0|174.0|185.0|228.0|7.0|845.0|612.0,1
167.0|187.0|195.0|185.0|7.0|898.0|636.0,1
184.0|86.0|190.0|213.0|6.0|923.0|623.0,1
156.0|178.0|187.0|221.0|7.0|854.0|614.0,1
236.9|91.7|71.5|246.9|6.0|852.9|695.4,1
313.3|0.0|113.0|178.5|8.0|1001.9|688.7,1
154.8|183.4|0.0|193.3|9.1|1047.4|696.7,1
145.9|230.5|0.0|202.5|3.4|827.0|871.8,1
296.0|0.0|106.7|221.4|10.5|819.2|778.4,1
133.1|210.2|0.0|195.7|3.1|949.4|795.3,1
313.3|145.0|0.0|178.5|8.0|867.2|824.0,1
151.6|0.0|111.9|184.4|7.9|992.0|815.9,1
153.1|145.0|113.0|178.5|8.0|1001.9|688.7,1
139.9|132.6|103.3|200.3|7.4|916.0|753.4,1
149.5|236.0|0.0|175.8|12.6|846.8|892.7,1
299.8|0.0|119.8|211.5|9.9|878.2|727.6,1
153.1|145.0|113.0|178.5|8.0|867.2|824.0,1
148.1|0.0|136.6|158.1|16.1|1001.8|830.1,1
326.5|0.0|137.9|199.0|10.8|801.1|792.5,1
152.7|144.7|0.0|178.1|8.0|999.7|822.2,1
261.9|110.5|86.1|195.4|5.0|895.2|732.6,1
158.4|0.0|194.9|219.7|11.0|897.7|712.9,1
150.7|0.0|185.3|166.7|15.6|1074.5|678.0,1
272.6|0.0|89.6|198.7|10.6|931.3|762.2,1
149.0|117.6|91.7|182.9|7.1|953.4|780.3,1
143.0|169.4|142.7|190.7|8.4|967.4|643.5,1
259.9|100.6|78.4|170.6|10.4|935.7|762.9,1
312.9|160.5|0.0|177.6|9.6|916.6|759.5,1
284.0|119.7|0.0|168.3|7.2|970.4|794.2,1
336.5|0.0|0.0|181.9|3.4|985.8|816.8,1
144.8|0.0|133.6|180.8|11.1|979.5|811.5,1
150.0|236.8|0.0|173.8|11.9|1069.3|674.8,1
143.7|170.2|132.6|191.6|8.5|814.1|805.3,1
330.5|169.6|0.0|194.9|8.1|811.0|802.3,1
154.8|0.0|142.8|193.3|9.1|1047.4|696.7,1
154.8|183.4|0.0|193.3|9.1|877.2|867.7,1
134.7|0.0|165.7|180.2|10.0|961.0|804.9,1
266.2|112.3|87.5|177.9|10.4|909.7|744.5,1
314.0|145.3|113.2|178.9|8.0|869.1|690.2,1
312.7|144.7|0.0|127.3|8.0|999.7|822.2,1
145.7|172.6|0.0|181.9|3.4|985.8|816.8,1
143.8|136.3|106.2|178.1|7.5|941.5|774.3,1
148.1|0.0|182.1|181.4|15.0|838.9|884.3,1
277.0|116.8|91.0|190.6|7.0|946.5|665.6,1
298.1|0.0|107.5|163.6|12.8|953.2|784.0,1
313.3|145.0|0.0|178.5|8.0|1001.9|688.7,1
155.2|183.9|143.2|193.8|9.2|879.6|698.5,1
289.0|133.7|0.0|194.9|5.5|924.1|760.1,1
147.8|175.1|0.0|171.2|2.2|1000.0|828.5,1
145.4|0.0|178.9|201.7|7.8|824.0|868.7,1
312.7|0.0|0.0|178.1|8.0|999.7|822.2,1
136.4|161.6|125.8|171.6|10.4|922.6|764.4,1
154.8|0.0|142.8|193.3|9.1|877.2|867.7,1
255.3|98.8|77.0|188.6|6.5|919.0|749.3,1
272.8|105.1|81.8|209.7|9.0|904.0|679.7,1
162.0|190.1|148.1|178.8|18.8|838.1|741.4,1
153.6|144.2|112.3|220.1|10.1|923.2|657.9,1
146.5|114.6|89.3|201.9|8.8|860.0|829.5,1
151.8|178.1|138.7|167.5|18.3|944.0|694.6,1
309.9|142.8|111.2|167.8|22.1|913.9|651.2,1
143.6|0.0|174.9|158.4|17.9|942.7|844.5,1
303.6|139.9|0.0|213.5|6.2|895.5|722.5,1
374.3|0.0|0.0|190.2|6.7|1013.2|730.4,1
158.6|148.9|116.0|175.1|15.0|953.3|719.7,1
152.6|238.7|0.0|200.0|6.3|1001.8|683.9,1
310.0|142.8|0.0|167.9|10.0|914.3|804.0,1
304.8|0.0|99.6|196.0|9.8|959.4|705.2,1
150.9|0.0|183.9|166.6|11.6|991.2|772.2,1
141.9|166.6|129.7|173.5|10.9|882.6|785.3,1
297.8|137.2|106.9|201.3|6.0|878.4|655.3,1
321.3|164.2|0.0|190.5|4.6|870.0|774.0,1
366.0|187.0|0.0|191.3|6.6|824.3|756.9,1
279.8|128.9|100.4|172.4|9.5|825.1|804.9,1
252.1|97.1|75.6|193.8|8.3|835.5|821.4,1
164.6|0.0|150.4|181.6|11.7|1023.3|728.9,1
155.6|243.5|0.0|180.3|10.7|1022.0|697.7,1
160.2|188.0|146.4|203.2|11.3|828.7|709.7,1
298.1|0.0|107.0|186.4|6.1|879.0|815.2,1
317.9|0.0|126.5|209.7|5.7|860.5|736.6,1
287.3|120.5|93.9|187.6|9.2|904.4|695.9,1
325.6|166.4|0.0|174.0|8.9|881.6|790.0,1
355.9|0.0|141.6|193.3|11.0|801.4|778.4,1
132.0|206.5|160.9|178.9|5.5|866.9|735.6,1
322.5|148.6|0.0|185.8|8.5|951.0|709.5,1
164.2|0.0|200.1|181.2|12.6|849.3|846.0,1
313.8|0.0|112.6|169.9|10.1|925.3|782.9,1
321.4|0.0|127.9|182.5|11.5|870.1|779.7,1
139.7|163.9|127.7|236.7|5.8|868.6|655.6,1
288.4|121.0|0.0|177.4|7.0|907.9|829.5,1
298.2|0.0|107.0|209.7|11.1|879.6|744.2,1
264.5|111.0|86.5|195.5|5.9|832.6|790.4,1
159.8|250.0|0.0|168.4|12.2|1049.3|688.2,1
166.0|259.7|0.0|183.2|12.7|858.8|826.8,1
276.4|116.0|90.3|179.6|8.9|870.1|768.3,1
322.2|0.0|115.6|196.0|10.4|817.9|813.4,1
148.5|139.4|108.6|192.7|6.1|892.4|780.0,1
159.1|186.7|0.0|175.6|11.3|989.6|788.9,1
260.9|100.5|78.3|200.6|8.6|864.5|761.5,1
